experiment_ID, ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data
0,0,0,60000,1000,1000,0.000200,80.00,98.61,98.57,0.00,0.00,0.00,0.00,98.61,98.57,0.00,0.00,0.00,0.00,98.25,98.27,74.30,72.40,74.30,72.40
0,1,0,60000,1000,2000,0.000200,100.00,98.61,98.57,21.20,18.80,10.60,9.40,98.25,98.27,16.70,12.80,45.50,42.60,97.74,97.89,96.00,93.60,86.70,85.00
0,2,0,60000,1000,3000,0.000200,80.00,98.61,98.57,0.00,0.00,7.07,6.27,97.74,97.89,1.20,1.20,58.20,57.07,96.00,96.21,60.60,60.80,74.43,73.33
0,3,0,60000,1000,4000,0.000200,50.00,98.61,98.57,0.00,0.00,5.30,4.70,96.00,96.21,0.20,0.00,55.88,55.00,93.89,94.49,39.60,32.80,73.58,71.80
0,4,0,60000,1000,5000,0.000300,80.00,98.61,98.57,0.20,0.40,4.28,3.84,93.89,94.49,0.00,0.00,58.86,57.44,95.33,95.38,53.30,51.20,70.82,70.88
0,5,0,60000,1000,6000,0.000500,60.00,98.61,98.57,0.30,0.40,3.62,3.27,95.33,95.38,0.00,0.00,59.02,59.07,95.96,96.28,44.00,45.20,70.48,70.47
0,6,0,60000,1000,7000,0.000800,80.00,98.61,98.57,69.70,62.00,13.06,11.66,95.96,96.28,4.90,5.60,61.11,61.20,96.30,96.42,84.30,83.60,71.34,70.46
0,7,0,60000,1000,8000,0.000900,50.00,98.61,98.57,22.00,18.00,14.18,12.45,96.30,96.42,11.00,11.20,63.80,63.05,95.20,95.36,85.30,88.00,71.08,70.35
0,8,0,60000,1000,9000,0.001000,40.00,98.61,98.57,24.10,21.20,15.28,13.42,95.20,95.36,48.80,51.60,68.60,68.27,94.31,94.43,92.10,94.80,72.23,72.44
0,9,0,60000,1000,10000,0.000800,30.00,98.61,98.57,4.50,5.20,14.20,12.60,94.31,94.43,0.00,0.00,65.01,65.20,95.49,95.53,81.60,85.60,70.72,70.84
