experiment_ID, ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					acc_instance_test_first_model, acc_instance_test_before_last_model, acc_instance_test_last_model,					acc_accumilated_instances_test_first_model, acc_accumilated_instances_test_before_last_model, acc_accumilated_instances_test_last_model
0,0,1,60000,1000,1000,0.000410,37.92,98.62,98.62,20.00,18.00,20.00,18.00,98.62,98.62,20.00,18.00,20.00,18.00,90.28,90.24,99.70,100.00,99.70,100.00,18.00,18.00,100.00,18.00,18.00,100.00
0,1,1,60000,1000,2000,0.000724,76.87,98.62,98.62,32.40,27.20,26.20,22.60,90.28,90.24,13.60,14.40,56.65,57.20,87.85,88.07,91.50,90.00,92.00,90.80,27.20,14.40,90.00,22.60,57.20,90.80
0,2,1,60000,1000,3000,0.000764,68.86,98.62,98.62,24.40,23.20,25.60,22.80,87.85,88.07,0.20,0.00,61.40,60.53,88.47,88.79,73.30,74.00,78.63,78.00,23.20,0.00,74.00,22.80,60.53,78.00
0,3,2,60000,1000,4000,0.000734,66.80,98.62,98.62,58.60,52.40,33.85,30.20,88.47,88.79,24.60,21.20,65.12,63.80,91.44,91.81,80.20,74.80,75.28,73.00,52.40,21.20,74.80,30.20,63.80,73.00
0,4,2,60000,1000,5000,0.000706,66.92,98.62,98.62,5.80,8.40,28.24,25.84,91.44,91.81,29.10,31.20,66.04,64.64,89.46,89.69,73.20,68.80,71.98,69.68,8.40,31.20,68.80,25.84,64.64,69.68
0,5,1,60000,1000,6000,0.000784,71.47,98.62,98.62,33.80,32.00,29.17,26.87,89.46,89.69,48.10,45.60,68.00,65.67,86.20,86.53,77.90,78.40,68.25,67.47,32.00,45.60,78.40,26.87,65.67,67.47
0,6,1,60000,1000,7000,0.000789,59.08,98.62,98.62,38.30,46.80,30.47,29.71,86.20,86.53,34.70,42.40,63.46,63.89,84.04,84.92,69.20,70.80,67.29,66.29,46.80,42.40,70.80,29.71,63.89,66.29
0,7,1,60000,1000,8000,0.000268,33.69,98.62,98.62,0.00,0.00,26.66,26.00,84.04,84.92,18.90,16.80,61.24,60.10,86.57,86.91,64.10,62.40,62.35,60.90,0.00,16.80,62.40,26.00,60.10,60.90
0,8,1,60000,1000,9000,0.000462,99.41,98.62,98.62,18.40,22.40,25.74,25.60,86.57,86.91,13.10,14.00,56.88,55.69,87.65,88.49,32.40,36.00,56.07,54.27,22.40,14.00,36.00,25.60,55.69,54.27
0,9,0,60000,1000,10000,0.000172,26.05,98.62,98.62,16.80,17.20,24.85,24.76,87.65,88.49,33.60,36.80,53.82,52.52,88.49,89.03,51.20,51.20,54.83,53.48,17.20,36.80,51.20,24.76,52.52,53.48
