experiment_ID, ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					acc_instance_test_first_model, acc_instance_test_before_last_model, acc_instance_test_last_model,					acc_accumilated_instances_test_first_model, acc_accumilated_instances_test_before_last_model, acc_accumilated_instances_test_last_model
0,0,2,60000,1000,1000,0.000400,50.00,98.61,98.58,34.50,30.00,34.50,30.00,98.61,98.58,34.50,30.00,34.50,30.00,95.25,95.35,98.50,98.80,98.50,98.80,30.00,30.00,98.80,30.00,30.00,98.80
0,1,2,60000,1000,2000,0.000600,90.00,98.61,98.58,37.10,34.80,35.80,32.40,95.25,95.35,9.60,10.00,54.05,54.40,94.41,95.24,84.50,88.40,86.35,89.60,34.80,10.00,88.40,32.40,54.40,89.60
0,2,2,60000,1000,3000,0.000500,90.00,98.61,98.58,13.50,11.60,28.37,25.47,94.41,95.24,2.40,2.40,58.37,60.53,94.75,95.22,57.20,57.60,69.23,70.00,11.60,2.40,57.60,25.47,60.53,70.00
0,3,0,60000,1000,4000,0.000900,70.00,98.61,98.58,28.50,30.40,28.40,26.70,94.75,95.22,17.90,16.40,56.40,56.60,95.08,95.10,82.70,82.00,68.92,68.30,30.40,16.40,82.00,26.70,56.60,68.30
0,4,2,60000,1000,5000,0.001000,60.00,98.61,98.58,51.80,53.60,33.08,32.08,95.08,95.10,32.10,32.40,61.56,61.12,95.03,95.12,84.00,84.00,70.72,70.48,53.60,32.40,84.00,32.08,61.12,70.48
0,5,0,60000,1000,6000,0.000900,60.00,98.61,98.58,39.60,39.60,34.17,33.33,95.03,95.12,45.80,46.80,66.57,66.53,94.73,95.04,78.50,79.60,69.12,69.40,39.60,46.80,79.60,33.33,66.53,69.40
0,6,0,60000,1000,7000,0.000900,60.00,98.61,98.58,36.30,40.80,34.47,34.40,94.73,95.04,41.40,40.00,65.16,65.20,94.90,95.08,85.90,85.60,69.81,69.31,40.80,40.00,85.60,34.40,65.20,69.31
0,7,1,60000,1000,8000,0.001000,40.00,98.61,98.58,28.30,25.20,33.70,33.25,94.90,95.08,21.50,18.80,63.77,63.00,94.91,95.25,66.70,64.80,71.69,70.35,25.20,18.80,64.80,33.25,63.00,70.35
0,8,2,60000,1000,9000,0.001000,30.00,98.61,98.58,18.00,18.40,31.96,31.60,94.91,95.25,8.90,6.80,64.70,63.29,94.67,95.24,25.50,21.60,65.30,64.00,18.40,6.80,21.60,31.60,63.29,64.00
0,9,1,60000,1000,10000,0.000700,10.00,98.61,98.58,66.50,60.00,35.41,34.44,94.67,95.24,27.40,25.20,61.51,60.12,94.82,95.16,97.00,96.40,68.40,67.40,60.00,25.20,96.40,34.44,60.12,67.40
1,0,2,60000,1000,1000,0.000400,20.00,98.76,98.69,35.30,33.20,35.30,33.20,98.76,98.69,35.30,33.20,35.30,33.20,95.00,95.03,94.20,92.80,94.20,92.80,33.20,33.20,92.80,33.20,33.20,92.80
1,1,0,60000,1000,2000,0.000300,20.00,98.76,98.69,34.10,37.60,34.70,35.40,95.00,95.03,18.80,20.80,56.50,56.80,94.61,95.13,74.40,79.20,73.40,74.40,37.60,20.80,79.20,35.40,56.80,74.40
1,2,2,60000,1000,3000,0.000400,50.00,98.76,98.69,25.20,26.40,31.53,32.40,94.61,95.13,5.80,3.20,50.87,50.67,94.82,95.23,73.20,76.40,69.77,71.73,26.40,3.20,76.40,32.40,50.67,71.73
1,3,0,60000,1000,4000,0.000700,20.00,98.76,98.69,43.40,40.00,34.50,34.30,94.82,95.23,16.10,16.40,56.35,57.90,95.10,95.19,91.40,93.20,71.30,70.80,40.00,16.40,93.20,34.30,57.90,70.80
1,4,2,60000,1000,5000,0.000800,10.00,98.76,98.69,37.40,33.60,35.08,34.16,95.10,95.19,9.60,6.80,58.96,58.00,94.79,95.16,66.20,66.80,74.38,73.68,33.60,6.80,66.80,34.16,58.00,73.68
1,5,1,60000,1000,6000,0.002000,20.00,98.76,98.69,27.20,29.60,33.77,33.40,94.79,95.16,0.90,2.00,62.13,61.73,94.63,95.24,87.40,88.80,82.22,81.93,29.60,2.00,88.80,33.40,61.73,81.93
1,6,1,60000,1000,7000,0.001000,10.00,98.76,98.69,36.60,37.60,34.17,34.00,94.63,95.24,49.10,50.40,77.49,77.43,95.08,95.48,97.20,96.40,78.26,78.00,37.60,50.40,96.40,34.00,77.43,78.00
1,7,0,60000,1000,8000,0.002000,20.00,98.76,98.69,44.70,44.80,35.49,35.35,95.08,95.48,40.30,34.80,73.51,72.60,95.14,95.65,83.60,79.60,79.56,79.25,44.80,34.80,79.60,35.35,72.60,79.25
1,8,2,60000,1000,9000,0.002000,20.00,98.76,98.69,12.00,9.60,32.88,32.49,95.14,95.65,10.80,9.20,71.92,71.47,94.74,95.10,65.80,61.60,77.42,75.91,9.60,9.20,61.60,32.49,71.47,75.91
