experiment_ID, 					ID, 					instance_ID, 					instance_digit,					instance_noise_type, 					acc_instance_before_last_model, 					acc_instance_last_model,					acc_on_task_first_model,					acc_on_task_before_last_model, 					acc_on_task_last_model					
0,0,0,7,1,41.60,85.60,94.07,94.07,99.42
0,1,0,7,1,85.60,76.40,94.07,99.42,98.83
0,1,1,5,2,35.60,66.80,92.94,93.05,97.98
0,2,0,7,1,76.40,78.40,94.07,98.83,99.03
0,2,1,5,2,66.80,59.20,92.94,97.98,97.20
0,2,2,6,2,42.80,72.40,95.82,89.87,96.66
0,3,0,7,1,78.40,70.00,94.07,99.03,98.25
0,3,1,5,2,59.20,44.00,92.94,97.20,95.96
0,3,2,6,2,72.40,85.60,95.82,96.66,99.16
0,3,3,6,2,53.60,82.40,95.82,96.66,99.16
0,4,0,7,1,70.00,86.40,94.07,98.25,99.22
0,4,1,5,2,44.00,48.80,92.94,95.96,96.41
0,4,2,6,2,85.60,78.40,95.82,99.16,98.02
0,4,3,6,2,82.40,76.80,95.82,99.16,98.02
0,4,4,7,2,14.00,62.40,94.26,94.46,97.28
0,5,0,7,1,86.40,92.00,94.07,99.22,99.32
0,5,1,5,2,48.80,44.00,92.94,96.41,96.64
0,5,2,6,2,78.40,83.60,95.82,98.02,98.85
0,5,3,6,2,76.80,79.60,95.82,98.02,98.85
0,5,4,7,2,62.40,64.00,94.26,97.28,97.47
0,5,5,4,1,22.00,59.20,97.25,92.57,98.47
0,6,0,7,1,92.00,93.20,94.07,99.32,98.93
0,6,1,5,2,44.00,45.20,92.94,96.64,96.64
0,6,2,6,2,83.60,82.00,95.82,98.85,97.91
0,6,3,6,2,79.60,88.80,95.82,98.85,97.91
0,6,4,7,2,64.00,60.00,94.26,97.47,97.28
0,6,5,4,1,59.20,62.40,97.25,98.47,97.35
0,6,6,9,0,11.20,58.40,92.77,59.96,93.46
0,7,0,7,1,93.20,90.80,94.07,98.93,98.83
0,7,1,5,2,45.20,42.80,92.94,96.64,95.74
0,7,2,6,2,82.00,88.00,95.82,97.91,94.68
0,7,3,6,2,88.80,88.00,95.82,97.91,94.68
0,7,4,7,2,60.00,68.40,94.26,97.28,94.84
0,7,5,4,1,62.40,60.00,97.25,97.35,95.93
0,7,6,9,0,58.40,56.80,92.77,93.46,92.86
0,7,7,0,0,21.20,69.20,98.98,93.16,98.37
0,8,0,7,1,90.80,88.00,94.07,98.83,98.05
0,8,1,5,2,42.80,44.80,92.94,95.74,93.05
0,8,2,6,2,88.00,84.00,95.82,94.68,93.95
0,8,3,6,2,88.00,92.00,95.82,94.68,93.95
0,8,4,7,2,68.40,72.80,94.26,94.84,92.02
0,8,5,4,1,60.00,62.00,97.25,95.93,95.72
0,8,6,9,0,56.80,57.20,92.77,92.86,91.28
0,8,7,0,0,69.20,74.00,98.98,98.37,97.86
0,8,8,3,2,12.40,59.20,94.55,76.34,96.53
0,9,0,7,1,88.00,89.20,94.07,98.05,98.25
0,9,1,5,2,44.80,54.80,92.94,93.05,94.17
0,9,2,6,2,84.00,87.20,95.82,93.95,91.02
0,9,3,6,2,92.00,89.20,95.82,93.95,91.02
0,9,4,7,2,72.80,76.00,94.26,92.02,89.79
0,9,5,4,1,62.00,62.00,97.25,95.72,95.32
0,9,6,9,0,57.20,59.20,92.77,91.28,89.69
0,9,7,0,0,74.00,77.60,98.98,97.86,97.65
0,9,8,3,2,59.20,62.00,94.55,96.53,95.74
0,9,9,8,1,12.40,60.40,85.42,59.96,92.51
0,10,0,7,1,89.20,81.60,94.07,98.25,97.18
0,10,1,5,2,54.80,55.20,92.94,94.17,93.72
0,10,2,6,2,87.20,87.20,95.82,91.02,90.61
0,10,3,6,2,89.20,88.40,95.82,91.02,90.61
0,10,4,7,2,76.00,78.00,94.26,89.79,90.56
0,10,5,4,1,62.00,51.20,97.25,95.32,94.91
0,10,6,9,0,59.20,57.60,92.77,89.69,90.88
0,10,7,0,0,77.60,73.60,98.98,97.65,97.65
