experiment_ID, 					ID, 					instance_ID, 					instance_digit,					instance_noise_type, 					acc_instance_before_last_model, 					acc_instance_last_model,					acc_on_task_first_model,					acc_on_task_before_last_model, 					acc_on_task_last_model					
0,0,0,9,2,14.80,98.40,77.50,77.50,100.00
0,1,0,9,2,98.40,79.20,77.50,100.00,98.81
0,1,1,5,1,24.40,90.80,88.90,68.50,98.32
0,2,0,9,2,79.20,69.60,77.50,98.81,97.32
0,2,1,5,1,90.80,85.20,88.90,98.32,98.09
0,2,2,2,1,13.20,84.40,91.28,77.23,99.13
0,3,0,9,2,69.60,62.00,77.50,97.32,95.34
0,3,1,5,1,85.20,72.80,88.90,98.09,95.52
0,3,2,2,1,84.40,73.20,91.28,99.13,98.26
0,3,3,8,1,13.60,76.80,87.27,62.73,98.46
0,4,0,9,2,62.00,80.00,77.50,95.34,99.31
0,4,1,5,1,72.80,70.80,88.90,95.52,95.52
0,4,2,2,1,73.20,72.80,91.28,98.26,98.16
0,4,3,8,1,76.80,73.20,87.27,98.46,97.33
0,4,4,9,2,39.60,79.60,77.50,95.34,99.31
0,5,0,9,2,80.00,56.40,77.50,99.31,97.03
0,5,1,5,1,70.80,66.80,88.90,95.52,96.19
0,5,2,2,1,72.80,71.20,91.28,98.16,98.93
0,5,3,8,1,73.20,61.60,87.27,97.33,96.20
0,5,4,9,2,79.60,63.60,77.50,99.31,97.03
0,5,5,2,2,35.60,82.40,93.12,87.02,98.74
0,6,0,9,2,56.40,71.60,77.50,97.03,98.91
0,6,1,5,1,66.80,68.40,88.90,96.19,95.40
0,6,2,2,1,71.20,74.40,91.28,98.93,98.35
0,6,3,8,1,61.60,55.60,87.27,96.20,95.28
0,6,4,9,2,63.60,87.20,77.50,97.03,98.91
0,6,5,2,2,82.40,76.80,93.12,98.74,96.90
0,6,6,9,0,47.60,88.00,92.67,98.81,99.60
0,7,0,9,2,71.60,55.20,77.50,98.91,97.52
0,7,1,5,1,68.40,72.80,88.90,95.40,96.30
0,7,2,2,1,74.40,62.80,91.28,98.35,98.45
0,7,3,8,1,55.60,46.00,87.27,95.28,93.63
0,7,4,9,2,87.20,75.20,77.50,98.91,97.52
0,7,5,2,2,76.80,70.00,93.12,96.90,95.54
0,7,6,9,0,88.00,66.80,92.67,99.60,99.01
0,7,7,3,1,19.60,43.20,88.61,78.91,94.16
0,8,0,9,2,55.20,33.60,77.50,97.52,94.05
0,8,1,5,1,72.80,80.80,88.90,96.30,97.76
0,8,2,2,1,62.80,53.20,91.28,98.45,97.87
0,8,3,8,1,46.00,40.40,87.27,93.63,93.74
0,8,4,9,2,75.20,56.80,77.50,97.52,94.05
0,8,5,2,2,70.00,65.20,93.12,95.54,95.25
0,8,6,9,0,66.80,49.20,92.67,99.01,97.62
0,8,7,3,1,43.20,40.80,88.61,94.16,94.65
0,8,8,5,1,33.60,60.40,88.90,96.30,97.76
0,9,0,9,2,33.60,34.00,77.50,94.05,92.27
0,9,1,5,1,80.80,80.00,88.90,97.76,96.97
0,9,2,2,1,53.20,49.60,91.28,97.87,97.97
0,9,3,8,1,40.40,39.60,87.27,93.74,92.51
0,9,4,9,2,56.80,54.00,77.50,94.05,92.27
0,9,5,2,2,65.20,59.60,93.12,95.25,92.34
0,9,6,9,0,49.20,48.80,92.67,97.62,97.72
0,9,7,3,1,40.80,51.20,88.61,94.65,97.03
0,9,8,5,1,60.40,63.60,88.90,97.76,96.97
0,9,9,3,1,47.60,62.40,88.61,94.65,97.03
