experiment_ID, ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					acc_instance_test_first_model, acc_instance_test_before_last_model, acc_instance_test_last_model,					acc_accumilated_instances_test_first_model, acc_accumilated_instances_test_before_last_model, acc_accumilated_instances_test_last_model
0,0,2,60000,1000,1000,0.000440,76.17,98.63,98.58,5.90,4.80,5.90,4.80,98.63,98.58,5.90,4.80,5.90,4.80,84.23,83.65,99.50,98.40,99.50,98.40,4.80,4.80,98.40,4.80,4.80,98.40
0,1,1,60000,1000,2000,0.000889,74.50,98.63,98.58,31.20,31.20,18.55,18.00,84.23,83.65,18.60,17.20,59.05,57.80,79.42,80.14,93.70,95.60,92.90,94.60,31.20,17.20,95.60,18.00,57.80,94.60
0,2,2,60000,1000,3000,0.001139,45.74,98.63,98.58,39.80,39.60,25.63,25.20,79.42,80.14,0.00,0.00,61.93,63.07,80.14,80.49,93.10,94.80,87.97,89.20,39.60,0.00,94.80,25.20,63.07,89.20
0,3,0,60000,1000,4000,0.000782,46.91,98.63,98.58,30.40,34.00,26.82,27.40,80.14,80.49,46.60,49.20,77.62,79.20,77.68,77.77,80.60,78.40,82.38,82.10,34.00,49.20,78.40,27.40,79.20,82.10
0,4,1,60000,1000,5000,0.000801,53.43,98.63,98.58,52.90,56.80,32.04,33.28,77.68,77.77,40.10,38.40,73.92,73.36,79.42,79.74,88.70,88.40,75.72,76.32,56.80,38.40,88.40,33.28,73.36,76.32
0,5,2,60000,1000,6000,0.000766,62.33,98.63,98.58,19.50,22.00,29.95,31.40,79.42,79.74,23.10,22.40,66.95,67.33,79.50,80.35,81.80,84.40,71.95,72.07,22.00,22.40,84.40,31.40,67.33,72.07
0,6,2,60000,1000,7000,0.003892,9.25,98.63,98.58,27.70,28.80,29.63,31.03,79.50,80.35,0.00,0.00,61.67,61.77,61.11,61.74,62.60,67.20,89.17,90.11,28.80,0.00,67.20,31.03,61.77,90.11
0,7,1,60000,1000,8000,0.005664,12.25,98.63,98.58,29.20,27.60,29.57,30.60,61.11,61.74,3.60,4.40,78.47,79.40,63.94,64.67,97.00,97.60,90.86,91.60,27.60,4.40,97.60,30.60,79.40,91.60
0,8,2,60000,1000,9000,0.002343,11.85,98.63,98.58,12.10,13.60,27.63,28.71,63.94,64.67,13.30,15.20,82.24,83.11,75.16,76.43,47.30,55.20,76.58,78.18,13.60,15.20,55.20,28.71,83.11,78.18
0,9,1,60000,1000,10000,0.004354,7.68,98.63,98.58,46.50,39.20,29.52,29.76,75.16,76.43,34.40,32.80,72.36,73.64,69.48,70.60,94.50,93.60,87.90,88.72,39.20,32.80,93.60,29.76,73.64,88.72
