experiment_ID, 					ID, 					instance_ID, 					instance_digit,					instance_noise_type, 					acc_instance_before_last_model, 					acc_instance_last_model,					acc_on_task_first_model,					acc_on_task_before_last_model, 					acc_on_task_last_model					
0,0,0,3,0,47.60,99.20,96.24,96.24,100.00
0,1,0,3,0,99.20,86.40,96.24,100.00,99.31
0,1,1,5,2,39.60,78.40,93.95,71.97,96.19
0,2,0,3,0,86.40,84.00,96.24,99.31,98.02
0,2,1,5,2,78.40,78.00,93.95,96.19,96.52
0,2,2,6,2,24.00,87.20,95.41,70.56,96.76
0,3,0,3,0,84.00,84.00,96.24,98.02,95.64
0,3,1,5,2,78.00,78.40,93.95,96.52,97.20
0,3,2,6,2,87.20,87.60,95.41,96.76,96.35
0,3,3,8,2,15.60,55.20,91.68,58.52,87.99
0,4,0,3,0,84.00,88.40,96.24,95.64,98.42
0,4,1,5,2,78.40,68.40,93.95,97.20,95.18
0,4,2,6,2,87.60,77.20,95.41,96.35,94.57
0,4,3,8,2,55.20,42.40,91.68,87.99,76.90
0,4,4,3,2,39.20,65.20,94.65,93.47,98.12
0,5,0,3,0,88.40,86.80,96.24,98.42,98.42
0,5,1,5,2,68.40,67.60,93.95,95.18,93.95
0,5,2,6,2,77.20,81.20,95.41,94.57,96.24
0,5,3,8,2,42.40,51.60,91.68,76.90,85.22
0,5,4,3,2,65.20,59.60,94.65,98.12,97.72
0,5,5,4,2,18.00,53.60,95.93,49.90,83.91
0,6,0,3,0,86.80,84.00,96.24,98.42,97.82
0,6,1,5,2,67.60,63.20,93.95,93.95,93.83
0,6,2,6,2,81.20,69.60,95.41,96.24,94.15
0,6,3,8,2,51.60,68.00,91.68,85.22,93.43
0,6,4,3,2,59.60,60.80,94.65,97.72,97.03
0,6,5,4,2,53.60,45.60,95.93,83.91,79.23
0,6,6,8,2,36.80,66.40,91.68,85.22,93.43
0,7,0,3,0,84.00,80.40,96.24,97.82,95.84
0,7,1,5,2,63.20,81.60,93.95,93.83,98.43
