experiment_ID, ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					acc_instance_test_first_model, acc_instance_test_before_last_model, acc_instance_test_last_model,					acc_accumilated_instances_test_first_model, acc_accumilated_instances_test_before_last_model, acc_accumilated_instances_test_last_model
0,0,1,60000,1000,1000,0.000172,68.28,98.60,98.62,2.10,2.40,2.10,2.40,98.60,98.62,2.10,2.40,2.10,2.40,93.81,94.28,90.70,87.20,90.70,87.20,2.40,2.40,87.20,2.40,2.40,87.20
0,1,1,60000,1000,2000,0.000408,64.36,98.60,98.62,6.10,7.20,4.10,4.80,93.81,94.28,7.50,9.20,49.10,48.20,87.91,88.45,57.20,63.20,75.60,77.80,7.20,9.20,63.20,4.80,48.20,77.80
0,2,1,60000,1000,3000,0.000548,69.47,98.60,98.62,52.10,53.20,20.10,20.93,87.91,88.45,23.40,23.60,58.20,59.73,87.47,88.55,74.50,72.40,69.77,71.60,53.20,23.60,72.40,20.93,59.73,71.60
0,3,1,60000,1000,4000,0.000662,81.25,98.60,98.62,22.20,21.60,20.62,21.10,87.47,88.55,36.30,38.00,61.40,63.20,86.50,87.59,77.90,80.00,71.28,72.50,21.60,38.00,80.00,21.10,63.20,72.50
0,4,1,60000,1000,5000,0.000599,79.71,98.60,98.62,40.30,36.00,24.56,24.08,86.50,87.59,42.40,36.80,65.50,65.36,86.91,88.00,81.70,77.20,66.48,65.12,36.00,36.80,77.20,24.08,65.36,65.12
0,5,2,60000,1000,6000,0.000623,61.13,98.60,98.62,26.50,24.40,24.88,24.13,86.91,88.00,13.70,11.20,57.68,56.13,87.84,88.71,56.20,61.20,61.03,61.40,24.40,11.20,61.20,24.13,56.13,61.40
0,6,2,60000,1000,7000,0.000758,62.79,98.60,98.62,28.20,28.00,25.36,24.69,87.84,88.71,34.30,33.60,57.21,57.43,87.02,88.00,67.50,72.00,63.09,63.77,28.00,33.60,72.00,24.69,57.43,63.77
0,7,0,60000,1000,8000,0.003899,13.42,98.60,98.62,31.00,24.80,26.06,24.70,87.02,88.00,5.90,4.40,55.94,56.35,66.08,67.43,89.90,90.00,88.56,89.00,24.80,4.40,90.00,24.70,56.35,89.00
0,8,2,60000,1000,9000,0.007805,5.25,98.60,98.62,45.60,40.00,28.23,26.40,66.08,67.43,14.00,13.60,80.28,80.62,55.58,56.63,95.70,95.20,95.86,95.51,40.00,13.60,95.20,26.40,80.62,95.51
0,9,2,60000,1000,10000,0.004458,7.04,98.60,98.62,22.40,22.00,27.65,25.96,55.58,56.63,10.80,10.00,87.35,86.96,63.77,65.45,88.30,86.80,87.99,87.20,22.00,10.00,86.80,25.96,86.96,87.20
