experiment_ID, ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					acc_instance_test_first_model, acc_instance_test_before_last_model, acc_instance_test_last_model,					acc_accumilated_instances_test_first_model, acc_accumilated_instances_test_before_last_model, acc_accumilated_instances_test_last_model
0,0,1,60000,1000,1000,0.000166,23.39,98.61,98.56,20.20,24.40,20.20,24.40,98.61,98.56,20.20,24.40,20.20,24.40,94.03,94.55,91.00,93.20,91.00,93.20,24.40,24.40,93.20,24.40,24.40,93.20
0,1,2,60000,1000,2000,0.000103,18.72,98.61,98.56,8.20,10.00,14.20,17.20,94.03,94.55,4.90,5.20,47.95,49.20,96.74,96.85,30.50,29.20,44.95,42.80,10.00,5.20,29.20,17.20,49.20,42.80
0,2,2,60000,1000,3000,0.000107,14.62,98.61,98.56,33.90,30.80,20.77,21.73,96.74,96.85,26.90,22.00,38.93,35.87,96.77,96.93,55.40,53.20,43.30,42.13,30.80,22.00,53.20,21.73,35.87,42.13
0,3,0,60000,1000,4000,0.000110,53.81,98.61,98.56,16.90,14.40,19.80,19.90,96.77,96.93,26.30,22.40,39.05,37.20,96.69,96.88,51.70,48.80,46.08,43.50,14.40,22.40,48.80,19.90,37.20,43.50
0,4,1,60000,1000,5000,0.000114,99.24,98.61,98.56,31.10,27.20,22.06,21.36,96.69,96.88,41.70,32.00,45.20,41.20,96.84,96.92,55.40,52.00,43.44,41.20,27.20,32.00,52.00,21.36,41.20,41.20
0,5,1,60000,1000,6000,0.000117,98.83,98.61,98.56,21.90,21.20,22.03,21.33,96.84,96.92,27.60,28.00,40.80,39.00,94.75,94.99,48.70,53.20,44.00,41.33,21.20,28.00,53.20,21.33,39.00,41.33
0,6,1,60000,1000,7000,0.000105,77.53,98.61,98.56,32.00,30.40,23.46,22.63,94.75,94.99,30.80,32.00,42.11,40.00,93.84,94.19,52.30,55.20,43.64,42.91,30.40,32.00,55.20,22.63,40.00,42.91
0,7,1,60000,1000,8000,0.000104,93.13,98.61,98.56,4.30,4.80,21.06,20.40,93.84,94.19,22.70,15.20,41.02,39.45,92.19,92.83,46.30,40.80,44.59,43.35,4.80,15.20,40.80,20.40,39.45,43.35
0,8,1,60000,1000,9000,0.000101,61.83,98.61,98.56,7.80,7.20,19.59,18.93,92.19,92.83,40.90,48.80,44.18,43.96,89.45,90.11,76.40,81.60,47.96,47.02,7.20,48.80,81.60,18.93,43.96,47.02
0,9,1,60000,1000,10000,0.000125,85.87,98.61,98.56,4.00,5.60,18.03,17.60,89.45,90.11,16.30,18.80,44.79,44.20,83.04,83.70,43.90,46.80,50.65,49.84,5.60,18.80,46.80,17.60,44.20,49.84
