experiment_ID, ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					acc_instance_test_first_model, acc_instance_test_before_last_model, acc_instance_test_last_model,					acc_accumilated_instances_test_first_model, acc_accumilated_instances_test_before_last_model, acc_accumilated_instances_test_last_model
0,0,1,60000,1000,1000,0.000105,70.61,98.67,98.64,35.80,33.20,35.80,33.20,98.67,98.64,35.80,33.20,35.80,33.20,90.05,90.05,86.50,82.40,86.50,82.40,33.20,33.20,82.40,33.20,33.20,82.40
0,1,1,60000,1000,2000,0.000100,19.42,98.67,98.64,23.80,24.80,29.80,29.00,90.05,90.05,19.30,19.20,52.90,50.80,89.20,89.22,77.90,80.40,71.80,74.60,24.80,19.20,80.40,29.00,50.80,74.60
0,2,1,60000,1000,3000,0.000101,74.78,98.67,98.64,4.50,6.00,21.37,21.33,89.20,89.22,27.70,28.00,57.10,59.07,72.88,72.50,84.10,83.20,74.73,74.53,6.00,28.00,83.20,21.33,59.07,74.53
0,3,1,60000,1000,4000,0.000103,14.36,98.67,98.64,23.10,24.40,21.80,22.10,72.88,72.50,2.00,3.60,56.55,56.80,77.76,77.40,86.40,81.60,72.70,72.90,24.40,3.60,81.60,22.10,56.80,72.90
0,4,1,60000,1000,5000,0.000106,78.27,98.67,98.64,51.80,49.60,27.80,27.60,77.76,77.40,38.40,39.60,65.84,66.24,79.23,79.48,72.80,73.20,71.66,70.80,49.60,39.60,73.20,27.60,66.24,70.80
0,5,1,60000,1000,6000,0.000100,28.96,98.67,98.64,19.30,20.80,26.38,26.47,79.23,79.48,44.70,47.60,67.17,66.93,74.14,74.71,80.40,81.20,73.07,73.33,20.80,47.60,81.20,26.47,66.93,73.33
0,6,1,60000,1000,7000,0.000102,67.86,98.67,98.64,1.40,1.20,22.81,22.86,74.14,74.71,10.50,9.60,64.13,64.23,69.01,70.32,61.90,56.00,69.16,67.83,1.20,9.60,56.00,22.86,64.23,67.83
0,7,2,60000,1000,8000,0.000110,3.45,98.67,98.64,30.70,28.80,23.80,23.60,69.01,70.32,31.60,30.00,64.46,63.10,62.82,64.18,63.70,63.60,69.21,68.25,28.80,30.00,63.60,23.60,63.10,68.25
0,8,1,60000,1000,9000,0.000101,73.93,98.67,98.64,32.30,30.00,24.74,24.31,62.82,64.18,26.00,30.40,64.41,64.04,57.81,59.35,73.10,76.80,66.69,65.91,30.00,30.40,76.80,24.31,64.04,65.91
0,9,2,60000,1000,10000,0.000102,50.91,98.67,98.64,34.30,35.20,25.70,25.40,57.81,59.35,35.30,35.60,63.55,62.88,58.15,59.37,70.80,70.40,65.78,65.48,35.20,35.60,70.40,25.40,62.88,65.48
