experiment_ID, ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					acc_instance_test_first_model, acc_instance_test_before_last_model, acc_instance_test_last_model,					acc_accumilated_instances_test_first_model, acc_accumilated_instances_test_before_last_model, acc_accumilated_instances_test_last_model
0,0,2,60000,1000,1000,0.000107,33.68,98.63,98.58,30.90,30.00,30.90,30.00,98.63,98.58,30.90,30.00,30.90,30.00,96.62,96.86,62.50,59.20,62.50,59.20,30.00,30.00,59.20,30.00,30.00,59.20
0,1,2,60000,1000,2000,0.000102,36.72,98.63,98.58,6.80,8.40,18.85,19.20,96.62,96.86,37.00,37.20,49.75,48.20,81.47,81.71,98.90,98.00,93.35,92.40,8.40,37.20,98.00,19.20,48.20,92.40
0,2,2,60000,1000,3000,0.000100,15.50,98.63,98.58,44.50,40.80,27.40,26.40,81.47,81.71,38.30,35.60,75.00,73.47,78.37,79.01,84.50,81.20,90.17,88.40,40.80,35.60,81.20,26.40,73.47,88.40
0,3,2,60000,1000,4000,0.000101,25.76,98.63,98.58,42.10,51.20,31.07,32.60,78.37,79.01,7.60,10.00,69.53,68.80,77.03,77.87,68.30,70.80,80.38,79.00,51.20,10.00,70.80,32.60,68.80,79.00
0,4,1,60000,1000,5000,0.000103,47.41,98.63,98.58,31.00,22.40,31.06,30.56,77.03,77.87,17.00,10.00,67.70,65.20,72.73,73.10,66.50,57.20,71.66,70.16,22.40,10.00,57.20,30.56,65.20,70.16
0,5,2,60000,1000,6000,0.000101,87.59,98.63,98.58,34.10,37.20,31.57,31.67,72.73,73.10,33.20,30.80,65.25,63.60,77.92,77.95,58.10,56.80,69.02,68.07,37.20,30.80,56.80,31.67,63.60,68.07
0,6,1,60000,1000,7000,0.000100,30.31,98.63,98.58,28.30,25.60,31.10,30.80,77.92,77.95,48.20,44.40,66.04,64.69,72.14,72.44,76.70,76.80,69.01,67.09,25.60,44.40,76.80,30.80,64.69,67.09
0,7,1,60000,1000,8000,0.000101,52.90,98.63,98.58,27.40,32.40,30.64,31.00,72.14,72.44,7.80,13.20,61.36,60.35,79.78,80.18,41.40,38.00,64.44,63.05,32.40,13.20,38.00,31.00,60.35,63.05
0,8,1,60000,1000,9000,0.000111,15.16,98.63,98.58,16.20,13.60,29.03,29.07,79.78,80.18,36.40,35.60,61.32,60.00,75.07,75.37,78.00,74.80,64.51,61.78,13.60,35.60,74.80,29.07,60.00,61.78
0,9,1,60000,1000,10000,0.000100,33.29,98.63,98.58,32.50,30.00,29.38,29.16,75.07,75.37,21.00,21.60,60.16,57.76,73.44,73.94,58.60,58.80,63.22,60.56,30.00,21.60,58.80,29.16,57.76,60.56
