experiment_ID, ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data
14,1,2,60000,1000,2000,0.000300,40.00,98.72,98.59,42.50,37.20,36.85,33.80,98.23,98.10,36.30,32.00,54.25,51.20,97.03,97.14,71.10,68.00,72.30,70.40
14,2,1,60000,1000,3000,0.000600,60.00,98.72,98.59,20.60,18.80,31.43,28.80,97.03,97.14,15.90,15.60,53.50,52.13,94.83,95.31,78.60,76.80,73.73,70.53
15,0,1,60000,1000,1000,0.000100,50.00,98.69,98.74,29.80,30.40,29.80,30.40,98.69,98.74,29.80,30.40,29.80,30.40,97.43,97.73,70.60,70.40,70.60,70.40
15,1,1,60000,1000,2000,0.000100,60.00,98.69,98.74,1.10,0.40,15.45,15.40,97.43,97.73,30.20,28.80,50.40,49.60,95.06,95.30,68.50,65.60,73.75,71.60
15,2,0,60000,1000,3000,0.000100,60.00,98.69,98.74,35.20,39.60,22.03,23.47,95.06,95.30,16.60,16.00,54.70,53.07,93.98,94.53,83.90,80.00,73.20,70.53
16,0,2,60000,1000,1000,0.000100,200.00,98.78,98.74,38.90,42.80,38.90,42.80,98.78,98.74,38.90,42.80,38.90,42.80,98.51,98.44,73.90,75.20,73.90,75.20
16,1,1,60000,1000,2000,0.000100,100.00,98.78,98.74,44.00,44.40,41.45,43.60,98.51,98.44,48.10,47.20,61.00,61.20,98.27,98.24,69.60,70.80,68.70,70.00
16,2,1,60000,1000,3000,0.000200,130.00,98.78,98.74,28.40,21.60,37.10,36.27,98.27,98.24,30.00,22.80,55.80,54.27,97.36,97.23,67.80,63.20,69.87,70.27
17,0,2,60000,1000,1000,0.000200,70.00,98.82,98.63,0.60,0.80,0.60,0.80,98.82,98.63,0.60,0.80,0.60,0.80,97.14,97.12,73.60,71.20,73.60,71.20
17,1,1,60000,1000,2000,0.000500,130.00,98.82,98.63,26.60,23.60,13.60,12.20,97.14,97.12,27.80,25.20,50.70,48.20,92.70,92.95,77.50,81.60,68.95,70.20
17,2,2,60000,1000,3000,0.000400,70.00,98.82,98.63,21.00,22.00,16.07,15.47,92.70,92.95,6.60,8.00,48.17,49.47,89.77,89.97,83.80,84.00,68.57,70.27
18,0,1,60000,1000,1000,0.000100,200.00,98.75,98.74,36.30,36.40,36.30,36.40,98.75,98.74,36.30,36.40,36.30,36.40,98.31,98.21,78.70,77.20,78.70,77.20
18,1,0,60000,1000,2000,0.000100,10.00,98.75,98.74,21.80,19.20,29.05,27.80,98.31,98.21,6.70,7.20,42.70,42.20,97.90,97.92,54.70,61.60,67.70,70.00
18,2,1,60000,1000,3000,0.000400,150.00,98.75,98.74,36.50,37.20,31.53,30.93,97.90,97.92,28.50,35.60,54.63,58.53,95.92,95.83,63.40,68.00,68.27,70.13
19,0,0,60000,1000,1000,0.000100,140.00,98.73,98.68,22.80,22.00,22.80,22.00,98.73,98.68,22.80,22.00,22.80,22.00,97.38,97.35,68.60,70.00,68.60,70.00
19,1,2,60000,1000,2000,0.000400,100.00,98.73,98.68,52.90,55.20,37.85,38.60,97.38,97.35,39.60,41.20,54.10,55.60,91.53,91.93,60.70,64.40,66.70,70.20
19,2,0,60000,1000,3000,0.000600,90.00,98.73,98.68,45.40,44.80,40.37,40.67,91.53,91.93,21.10,25.60,51.50,55.33,91.36,92.00,81.20,84.80,67.73,70.00
