experiment_ID, 					ID, 					instance_ID, 					instance_digit,					instance_noise_type, 					acc_instance_before_last_model, 					acc_instance_last_model,					acc_on_task_first_model,					acc_on_task_before_last_model, 					acc_on_task_last_model					
0,0,0,7,2,42.80,99.60,94.07,94.07,99.61
0,1,0,7,2,99.60,91.20,94.07,99.61,98.54
0,1,1,9,2,6.80,72.80,79.48,42.52,93.66
0,2,0,7,2,91.20,84.40,94.07,98.54,98.05
0,2,1,9,2,72.80,43.20,79.48,93.66,91.38
0,2,2,3,1,23.20,64.40,89.50,79.41,97.33
0,3,0,7,2,84.40,67.20,94.07,98.05,94.16
0,3,1,9,2,43.20,26.80,79.48,91.38,81.07
0,3,2,3,1,64.40,60.80,89.50,97.33,95.15
0,3,3,2,2,15.60,55.60,93.70,83.33,98.45
0,4,0,7,2,67.20,56.80,94.07,94.16,93.48
0,4,1,9,2,26.80,23.60,79.48,81.07,81.07
0,4,2,3,1,60.80,56.80,89.50,95.15,95.45
0,4,3,2,2,55.60,44.40,93.70,98.45,96.80
0,4,4,5,2,24.00,66.00,92.60,76.79,97.31
0,5,0,7,2,56.80,57.60,94.07,93.48,94.46
0,5,1,9,2,23.60,42.40,79.48,81.07,93.26
0,5,2,3,1,56.80,54.00,89.50,95.45,95.05
0,5,3,2,2,44.40,43.20,93.70,96.80,96.61
0,5,4,5,2,66.00,63.60,92.60,97.31,96.08
0,5,5,9,2,26.40,52.80,79.48,81.07,93.26
0,6,0,7,2,57.60,54.40,94.07,94.46,93.09
0,6,1,9,2,42.40,28.40,79.48,93.26,87.22
0,6,2,3,1,54.00,67.20,89.50,95.05,96.93
0,6,3,2,2,43.20,39.20,93.70,96.61,95.16
0,6,4,5,2,63.60,55.60,92.60,96.08,94.51
0,6,5,9,2,52.80,41.60,79.48,93.26,87.22
0,6,6,3,1,48.00,63.60,89.50,95.05,96.93
0,7,0,7,2,54.40,50.00,94.07,93.09,91.93
0,7,1,9,2,28.40,44.40,79.48,87.22,95.44
0,7,2,3,1,67.20,66.80,89.50,96.93,96.93
0,7,3,2,2,39.20,30.40,93.70,95.16,93.02
0,7,4,5,2,55.60,54.80,92.60,94.51,93.95
0,7,5,9,2,41.60,58.00,79.48,87.22,95.44
0,7,6,3,1,63.60,61.20,89.50,96.93,96.93
0,7,7,9,0,28.00,47.60,93.26,95.54,97.92
0,8,0,7,2,50.00,50.00,94.07,91.93,93.00
0,8,1,9,2,44.40,34.80,79.48,95.44,91.97
0,8,2,3,1,66.80,61.60,89.50,96.93,95.74
0,8,3,2,2,30.40,40.00,93.70,93.02,97.29
0,8,4,5,2,54.80,52.00,92.60,93.95,93.72
0,8,5,9,2,58.00,46.00,79.48,95.44,91.97
0,8,6,3,1,61.20,57.20,89.50,96.93,95.74
0,8,7,9,0,47.60,40.40,93.26,97.92,97.03
0,8,8,2,1,39.60,60.40,92.44,97.19,98.26
0,9,0,7,2,50.00,58.40,94.07,93.00,96.40
0,9,1,9,2,34.80,34.40,79.48,91.97,91.38
0,9,2,3,1,61.60,60.80,89.50,95.74,95.25
0,9,3,2,2,40.00,37.60,93.70,97.29,96.90
0,9,4,5,2,52.00,51.20,92.60,93.72,93.95
0,9,5,9,2,46.00,48.80,79.48,91.97,91.38
0,9,6,3,1,57.20,56.00,89.50,95.74,95.25
0,9,7,9,0,40.40,39.20,93.26,97.03,96.63
0,9,8,2,1,60.40,58.80,92.44,98.26,97.87
0,9,9,7,2,19.60,46.40,94.07,93.00,96.40
