experiment_ID, 					ID, 					instance_ID, 					instance_digit,					instance_noise_type, 					acc_instance_before_last_model, 					acc_instance_last_model,					acc_on_task_before_last_model, 					acc_on_task_last_model					
0,0,0,9,1,28.00,70.00,80.08,97.52
0,1,0,9,1,70.00,71.20,97.52,97.82
0,1,1,8,0,23.60,68.80,95.48,99.28
0,2,0,9,1,71.20,76.80,97.82,92.86
0,2,1,8,0,68.80,60.40,99.28,99.38
0,2,2,4,0,12.40,72.80,84.32,99.08
0,3,0,9,1,76.80,93.60,92.86,99.50
0,3,1,8,0,60.40,51.60,99.38,97.74
0,3,2,4,0,72.80,40.80,99.08,83.20
0,3,3,9,1,40.00,95.60,92.86,99.50
0,4,0,9,1,93.60,90.80,99.50,99.01
0,4,1,8,0,51.60,48.80,97.74,95.69
0,4,2,4,0,40.80,43.20,83.20,82.59
0,4,3,9,1,95.60,91.20,99.50,99.01
0,4,4,2,0,23.20,77.20,65.02,98.26
0,5,0,9,1,90.80,90.40,99.01,99.41
0,5,1,8,0,48.80,40.40,95.69,95.07
0,5,2,4,0,43.20,36.80,82.59,89.31
0,5,3,9,1,91.20,88.40,99.01,99.41
0,5,4,2,0,77.20,81.60,98.26,98.06
0,5,5,6,2,9.20,83.20,50.10,96.97
0,6,0,9,1,90.40,87.20,99.41,97.42
0,6,1,8,0,40.40,34.00,95.07,94.46
0,6,2,4,0,36.80,59.20,89.31,96.54
0,6,3,9,1,88.40,78.00,99.41,97.42
0,6,4,2,0,81.60,79.60,98.06,97.38
0,6,5,6,2,83.20,75.60,96.97,95.51
0,6,6,4,0,24.00,78.80,89.31,96.54
0,7,0,9,1,87.20,84.00,97.42,97.62
0,7,1,8,0,34.00,44.00,94.46,94.05
0,7,2,4,0,59.20,57.60,96.54,96.84
0,7,3,9,1,78.00,75.60,97.42,97.62
0,7,4,2,0,79.60,78.40,97.38,96.32
0,7,5,6,2,75.60,81.20,95.51,95.82
0,7,6,4,0,78.80,82.40,96.54,96.84
0,7,7,5,1,15.20,64.80,58.18,91.70
0,8,0,9,1,84.00,82.00,97.62,97.82
0,8,1,8,0,44.00,42.00,94.05,94.15
0,8,2,4,0,57.60,58.80,96.84,96.23
0,8,3,9,1,75.60,73.60,97.62,97.82
0,8,4,2,0,78.40,72.40,96.32,96.51
0,8,5,6,2,81.20,79.20,95.82,94.99
0,8,6,4,0,82.40,82.00,96.84,96.23
0,8,7,5,1,64.80,58.00,91.70,90.13
0,8,8,0,1,15.20,86.80,95.71,99.69
0,9,0,9,1,82.00,85.20,97.82,98.32
0,9,1,8,0,42.00,61.20,94.15,98.46
0,9,2,4,0,58.80,61.20,96.23,96.03
0,9,3,9,1,73.60,71.60,97.82,98.32
0,9,4,2,0,72.40,71.20,96.51,93.70
0,9,5,6,2,79.20,79.20,94.99,92.59
0,9,6,4,0,82.00,78.40,96.23,96.03
0,9,7,5,1,58.00,51.60,90.13,90.02
0,9,8,0,1,86.80,85.20,99.69,99.49
0,9,9,8,2,20.00,56.00,86.04,96.10
