experiment_ID, ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					acc_instance_test_first_model, acc_instance_test_before_last_model, acc_instance_test_last_model,					acc_accumilated_instances_test_first_model, acc_accumilated_instances_test_before_last_model, acc_accumilated_instances_test_last_model
0,0,1,60000,1000,1000,0.000100,10.00,98.63,98.58,34.40,35.20,34.40,35.20,98.63,98.58,34.40,35.20,34.40,35.20,96.88,96.86,91.00,93.20,91.00,93.20,35.20,35.20,93.20,35.20,35.20,93.20
0,1,2,60000,1000,2000,0.000100,10.00,98.63,98.58,32.80,37.20,33.60,36.20,96.88,96.86,20.70,23.20,55.85,58.20,97.05,96.98,68.30,72.40,75.30,77.80,37.20,23.20,72.40,36.20,58.20,77.80
0,2,2,60000,1000,3000,0.000100,0.00,98.63,98.58,34.50,29.60,33.90,34.00,97.05,96.98,26.30,22.00,58.97,59.20,95.65,95.60,53.90,49.20,70.87,71.60,29.60,22.00,49.20,34.00,59.20,71.60
0,3,1,60000,1000,4000,0.001000,10.00,98.63,98.58,46.30,42.00,37.00,36.00,95.65,95.60,28.00,25.20,60.15,60.00,81.63,81.95,83.20,81.20,85.00,83.80,42.00,25.20,81.20,36.00,60.00,83.80
0,4,0,60000,1000,5000,0.001000,10.00,98.63,98.58,39.40,37.60,37.48,36.32,81.63,81.95,16.90,14.80,71.38,70.00,80.59,81.66,90.00,84.00,83.22,79.52,37.60,14.80,84.00,36.32,70.00,79.52
0,5,2,60000,1000,6000,0.001000,10.00,98.63,98.58,53.60,53.60,40.17,39.20,80.59,81.66,3.20,1.20,69.88,66.47,92.76,93.33,96.80,97.60,81.82,79.73,53.60,1.20,97.60,39.20,66.47,79.73
0,6,1,60000,1000,7000,0.001000,10.00,98.63,98.58,41.70,44.00,40.39,39.89,92.76,93.33,16.80,17.20,72.53,70.80,93.83,94.03,84.30,80.40,79.96,77.83,44.00,17.20,80.40,39.89,70.80,77.83
0,7,1,60000,1000,8000,0.001000,10.00,98.63,98.58,28.40,25.60,38.89,38.10,93.83,94.03,3.50,2.00,70.40,68.35,88.10,88.38,88.50,90.00,79.49,78.20,25.60,2.00,90.00,38.10,68.35,78.20
0,8,0,60000,1000,9000,0.001000,10.00,98.63,98.58,32.70,40.00,38.20,38.31,88.10,88.38,13.90,18.00,72.20,71.51,90.95,90.95,83.40,83.60,76.77,76.13,40.00,18.00,83.60,38.31,71.51,76.13
0,9,2,60000,1000,10000,0.001000,10.00,98.63,98.58,36.30,37.20,38.01,38.20,90.95,90.95,32.20,30.40,72.31,71.56,89.41,89.37,85.70,83.20,76.01,74.32,37.20,30.40,83.20,38.20,71.56,74.32
