experiment_ID, ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data
0,0,1,60000,1000,1000,0.000100,60.00,98.65,98.63,23.40,28.00,23.40,28.00,98.65,98.63,23.40,28.00,23.40,28.00,97.78,97.90,65.80,70.00,65.80,70.00
0,1,0,60000,1000,2000,0.000200,70.00,98.65,98.63,31.90,34.00,27.65,31.00,97.78,97.90,25.40,23.60,45.60,46.80,96.70,97.13,66.40,68.80,66.65,70.00
0,2,0,60000,1000,3000,0.000400,80.00,98.65,98.63,33.60,34.00,29.63,32.00,96.70,97.13,10.80,12.40,48.03,50.80,89.26,89.37,75.50,72.80,68.90,70.00
0,3,1,60000,1000,4000,0.000900,80.00,98.65,98.63,11.90,14.40,25.20,27.60,89.26,89.37,33.60,40.00,60.08,62.50,77.97,79.08,93.80,95.60,70.65,70.40
0,4,0,60000,1000,5000,0.000800,100.00,98.65,98.63,47.00,44.40,29.56,30.96,77.97,79.08,25.00,23.20,61.52,60.96,86.05,86.07,77.40,77.20,69.80,70.24
0,5,2,60000,1000,6000,0.001000,80.00,98.65,98.63,51.80,55.20,33.27,35.00,86.05,86.07,8.20,9.20,59.53,60.07,86.62,86.90,79.90,83.20,69.63,70.13
0,6,0,60000,1000,7000,0.001000,70.00,98.65,98.63,26.40,28.40,32.29,34.06,86.62,86.90,25.60,24.00,63.34,63.54,83.61,84.05,74.80,78.80,68.70,70.34
0,7,1,60000,1000,8000,0.001000,40.00,98.65,98.63,45.10,41.60,33.89,35.00,83.61,84.05,13.20,15.20,61.76,63.45,86.27,86.40,64.50,64.80,70.47,71.00
0,8,1,60000,1000,9000,0.000900,40.00,98.65,98.63,35.90,40.40,34.11,35.60,86.27,86.40,17.10,15.20,64.54,64.80,87.78,87.64,82.70,86.80,67.98,70.53
0,9,2,60000,1000,10000,0.000500,10.00,98.65,98.63,19.00,21.20,32.60,34.16,87.78,87.64,18.60,20.00,63.04,65.48,87.56,87.49,53.40,56.00,69.37,70.08
