ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data
0,1,60000,1000,1000,0.000100,90.00,98.62,98.57,32.50,38.40,32.50,38.40,98.62,98.57,32.50,38.40,32.50,38.40,97.72,97.68,78.80,78.80,78.80,78.80
1,0,60000,1000,2000,0.000200,100.00,98.62,98.57,21.80,20.80,27.15,29.60,97.72,97.68,9.60,10.80,44.20,44.80,96.42,96.33,57.40,58.80,71.70,71.40
2,2,60000,1000,3000,0.000600,90.00,98.62,98.57,15.20,14.40,23.17,24.53,96.42,96.33,11.50,9.20,51.63,50.67,90.42,90.73,54.80,49.60,72.97,70.40
3,2,60000,1000,4000,0.000800,60.00,98.62,98.57,39.20,43.20,27.18,29.20,90.42,90.73,12.80,14.80,57.92,56.50,89.98,89.93,77.80,82.40,70.70,70.30
4,2,60000,1000,5000,0.000800,20.00,98.62,98.57,35.90,32.00,28.92,29.76,89.98,89.93,12.80,13.60,59.12,58.96,82.83,82.81,64.10,60.80,70.32,70.32
5,0,60000,1000,6000,0.001000,20.00,98.62,98.57,44.30,45.20,31.48,32.33,82.83,82.81,23.50,24.00,62.52,62.60,84.14,84.16,83.00,88.80,69.37,70.33
6,1,60000,1000,7000,0.000700,10.00,98.62,98.57,15.80,14.00,29.24,29.71,84.14,84.16,18.30,16.80,62.07,62.69,82.38,82.85,83.90,85.60,69.37,70.00
7,1,60000,1000,8000,0.001000,20.00,98.62,98.57,32.30,32.00,29.62,30.00,82.38,82.85,31.30,29.60,64.61,64.95,82.99,83.19,93.50,93.20,69.56,70.05
8,0,60000,1000,9000,0.000900,10.00,98.62,98.57,12.50,6.40,27.72,27.38,82.99,83.19,20.90,16.40,64.16,64.09,80.15,80.70,77.70,76.80,70.70,70.53
9,0,60000,1000,10000,0.001000,10.00,98.62,98.57,49.90,48.80,29.94,29.52,80.15,80.70,7.00,5.20,64.33,64.00,85.17,85.19,71.10,70.00,69.76,70.48
