experiment_ID, ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					acc_instance_test_first_model, acc_instance_test_before_last_model, acc_instance_test_last_model,					acc_accumilated_instances_test_first_model, acc_accumilated_instances_test_before_last_model, acc_accumilated_instances_test_last_model
0,0,1,60000,1000,1000,0.000257,87.90,98.62,98.58,12.90,12.80,12.90,12.80,98.62,98.58,12.90,12.80,12.90,12.80,95.37,95.46,94.30,93.20,94.30,93.20,12.80,12.80,93.20,12.80,12.80,93.20
0,1,2,60000,1000,2000,0.000324,41.16,98.62,98.58,40.10,36.00,26.50,24.40,95.37,95.46,23.70,19.20,59.00,56.20,93.81,94.10,89.30,88.40,91.15,90.60,36.00,19.20,88.40,24.40,56.20,90.60
0,2,1,60000,1000,3000,0.000375,38.24,98.62,98.58,15.80,17.60,22.93,22.13,93.81,94.10,10.80,12.80,64.37,64.67,91.10,91.83,70.00,71.60,74.97,71.73,17.60,12.80,71.60,22.13,64.67,71.73
0,3,1,60000,1000,4000,0.000145,5.62,98.62,98.58,46.50,49.60,28.82,29.00,91.10,91.83,39.20,41.60,66.03,64.20,92.83,93.29,83.10,84.00,70.42,68.20,49.60,41.60,84.00,29.00,64.20,68.20
0,4,1,60000,1000,5000,0.000282,34.19,98.62,98.58,29.10,28.80,28.88,28.96,92.83,93.29,25.00,26.00,61.34,59.76,93.37,93.88,51.50,52.40,62.76,61.44,28.80,26.00,52.40,28.96,59.76,61.44
0,5,2,60000,1000,6000,0.000735,72.12,98.62,98.58,9.10,9.20,25.58,25.67,93.37,93.88,3.10,1.20,52.82,51.40,92.17,92.92,61.80,60.80,62.13,61.40,9.20,1.20,60.80,25.67,51.40,61.40
0,6,2,60000,1000,7000,0.000597,88.77,98.62,98.58,8.30,9.60,23.11,23.37,92.17,92.92,47.50,50.40,60.04,59.83,92.02,92.68,77.30,80.00,63.19,62.80,9.60,50.40,80.00,23.37,59.83,62.80
0,7,2,60000,1000,8000,0.000414,66.07,98.62,98.58,49.60,46.80,26.43,26.30,92.02,92.68,41.10,44.40,60.42,60.50,91.81,92.56,73.70,73.60,60.29,59.60,46.80,44.40,73.60,26.30,60.50,59.60
0,8,2,60000,1000,9000,0.000460,93.10,98.62,98.58,28.20,26.80,26.62,26.36,91.81,92.56,38.10,38.80,57.82,57.29,91.74,92.56,55.30,55.60,57.89,57.78,26.80,38.80,55.60,26.36,57.29,57.78
0,9,2,60000,1000,10000,0.000389,82.01,98.62,98.58,41.50,38.40,28.11,27.56,91.74,92.56,20.70,16.40,54.17,53.64,92.61,93.38,37.40,34.00,54.88,54.28,38.40,16.40,34.00,27.56,53.64,54.28
