experiment_ID, 					ID, 					latest_new_instance_digit, 					noise type, 					Initial training dataset size, 					Oversampling Size per new instance, 					accumilated_retraining_dataset_size, 					lr, 					ewc_lambda, 										acc_digit_0_original_first_model,					acc_digit_1_original_first_model,					acc_digit_2_original_first_model,					acc_digit_3_original_first_model,					acc_digit_4_original_first_model,					acc_digit_5_original_first_model,					acc_digit_6_original_first_model,					acc_digit_7_original_first_model,					acc_digit_8_original_first_model,					acc_digit_9_original_first_model,					acc_digit_0_original_last_model,					acc_digit_1_original_last_model,					acc_digit_2_original_last_model,					acc_digit_3_original_last_model,					acc_digit_4_original_last_model,					acc_digit_5_original_last_model,					acc_digit_6_original_last_model,					acc_digit_7_original_last_model,					acc_digit_8_original_last_model,					acc_digit_9_original_last_model,					acc_digit_0_noise_0_first_model,					acc_digit_1_noise_0_first_model,					acc_digit_2_noise_0_first_model,					acc_digit_3_noise_0_first_model,					acc_digit_4_noise_0_first_model,					acc_digit_5_noise_0_first_model,					acc_digit_6_noise_0_first_model,					acc_digit_7_noise_0_first_model,					acc_digit_8_noise_0_first_model,					acc_digit_9_noise_0_first_model,					acc_digit_0_noise_0_last_model,					acc_digit_1_noise_0_last_model,					acc_digit_2_noise_0_last_model,					acc_digit_3_noise_0_last_model,					acc_digit_4_noise_0_last_model,					acc_digit_5_noise_0_last_model,					acc_digit_6_noise_0_last_model,					acc_digit_7_noise_0_last_model,					acc_digit_8_noise_0_last_model,					acc_digit_9_noise_0_last_model,					acc_digit_0_noise_1_first_model,					acc_digit_1_noise_1_first_model,					acc_digit_2_noise_1_first_model,					acc_digit_3_noise_1_first_model,					acc_digit_4_noise_1_first_model,					acc_digit_5_noise_1_first_model,					acc_digit_6_noise_1_first_model,					acc_digit_7_noise_1_first_model,					acc_digit_8_noise_1_first_model,					acc_digit_9_noise_1_first_model,					acc_digit_0_noise_1_last_model,					acc_digit_1_noise_1_last_model,					acc_digit_2_noise_1_last_model,					acc_digit_3_noise_1_last_model,					acc_digit_4_noise_1_last_model,					acc_digit_5_noise_1_last_model,					acc_digit_6_noise_1_last_model,					acc_digit_7_noise_1_last_model,					acc_digit_8_noise_1_last_model,					acc_digit_9_noise_1_last_model,					acc_digit_0_noise_2_first_model,					acc_digit_1_noise_2_first_model,					acc_digit_2_noise_2_first_model,					acc_digit_3_noise_2_first_model,					acc_digit_4_noise_2_first_model,					acc_digit_5_noise_2_first_model,					acc_digit_6_noise_2_first_model,					acc_digit_7_noise_2_first_model,					acc_digit_8_noise_2_first_model,					acc_digit_9_noise_2_first_model,					acc_digit_0_noise_2_last_model,					acc_digit_1_noise_2_last_model,					acc_digit_2_noise_2_last_model,					acc_digit_3_noise_2_last_model,					acc_digit_4_noise_2_last_model,					acc_digit_5_noise_2_last_model,					acc_digit_6_noise_2_last_model,					acc_digit_7_noise_2_last_model,					acc_digit_8_noise_2_last_model,					acc_digit_9_noise_2_last_model,					acc_digit_0_noise_0_flag,					acc_digit_1_noise_0_flag,					acc_digit_2_noise_0_flag,					acc_digit_3_noise_0_flag,					acc_digit_4_noise_0_flag,					acc_digit_5_noise_0_flag,					acc_digit_6_noise_0_flag,					acc_digit_7_noise_0_flag,					acc_digit_8_noise_0_flag,					acc_digit_9_noise_0_flag,					acc_digit_0_noise_1_flag,					acc_digit_1_noise_1_flag,					acc_digit_2_noise_1_flag,					acc_digit_3_noise_1_flag,					acc_digit_4_noise_1_flag,					acc_digit_5_noise_1_flag,					acc_digit_6_noise_1_flag,					acc_digit_7_noise_1_flag,					acc_digit_8_noise_1_flag,					acc_digit_9_noise_1_flag,					acc_digit_0_noise_2_flag,					acc_digit_1_noise_2_flag,					acc_digit_2_noise_2_flag,					acc_digit_3_noise_2_flag,					acc_digit_4_noise_2_flag,					acc_digit_5_noise_2_flag,					acc_digit_6_noise_2_flag,					acc_digit_7_noise_2_flag,					acc_digit_8_noise_2_flag,					acc_digit_9_noise_2_flag,					acc_all_digits_original_first_model,					acc_all_digits_original_last_model,					acc_all_digits_noise_0_first_model,					acc_all_digits_noise_0_last_model,					acc_all_digits_noise_1_first_model,					acc_all_digits_noise_1_last_model,					acc_all_digits_noise_2_first_model,					acc_all_digits_noise_2_last_model,					
0,0,9,2,						60000,1000,1000,0.000107,33.68,						99.49,99.65,98.84,98.32,98.78,98.43,98.85,98.54,97.74,97.03,						99.08,98.94,98.26,98.12,87.88,97.42,96.45,96.50,95.59,99.90,						99.08,99.74,96.61,95.84,97.25,97.98,98.12,97.86,96.92,92.86,						98.57,99.12,95.74,95.94,82.08,95.52,93.63,95.14,93.74,98.71,						99.39,100.00,90.79,88.61,97.15,87.78,97.70,94.07,86.14,80.18,						99.39,99.74,93.12,90.99,87.27,86.77,95.09,91.93,90.04,98.12,						98.78,99.30,93.41,94.36,96.03,92.71,95.09,93.77,92.40,77.80,						98.16,97.00,90.99,93.66,73.63,90.70,87.89,90.56,86.34,97.42,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,						98.58,96.86,97.24,94.90,92.29,93.40,93.42,90.77
0,1,9,2,						60000,1000,2000,0.000102,36.72,						99.49,99.65,98.84,98.32,98.78,98.43,98.85,98.54,97.74,97.03,						92.45,80.79,93.60,93.07,40.84,85.76,85.91,78.02,65.91,100.00,						99.08,99.74,96.61,95.84,97.25,97.98,98.12,97.86,96.92,92.86,						88.37,72.07,86.92,88.22,28.92,70.85,67.01,68.00,48.46,100.00,						99.39,100.00,90.79,88.61,97.15,87.78,97.70,94.07,86.14,80.18,						88.88,80.53,79.36,69.60,29.33,40.81,63.88,48.74,41.68,100.00,						98.78,99.30,93.41,94.36,96.03,92.71,95.09,93.77,92.40,77.80,						84.69,57.44,77.13,79.21,22.20,51.12,45.62,54.28,32.65,99.80,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,						98.58,81.71,97.24,72.10,92.29,64.87,93.42,60.72
0,2,2,2,						60000,1000,3000,0.000100,15.50,						99.49,99.65,98.84,98.32,98.78,98.43,98.85,98.54,97.74,97.03,						83.47,76.74,98.55,92.67,49.90,80.83,78.81,69.65,58.32,100.00,						99.08,99.74,96.61,95.84,97.25,97.98,98.12,97.86,96.92,92.86,						66.63,21.85,97.09,86.34,20.88,61.55,43.53,51.36,23.41,99.80,						99.39,100.00,90.79,88.61,97.15,87.78,97.70,94.07,86.14,80.18,						90.20,79.30,97.00,83.66,54.38,56.50,74.84,35.80,60.99,100.00,						98.78,99.30,93.41,94.36,96.03,92.71,95.09,93.77,92.40,77.80,						49.69,4.85,93.70,76.63,7.03,41.82,12.94,27.72,8.52,99.80,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,						98.58,79.01,97.24,57.09,92.29,73.56,93.42,42.24
0,3,5,2,						60000,1000,4000,0.000101,25.76,						99.49,99.65,98.84,98.32,98.78,98.43,98.85,98.54,97.74,97.03,						79.80,74.71,98.26,84.46,51.02,98.54,73.59,71.21,47.64,100.00,						99.08,99.74,96.61,95.84,97.25,97.98,98.12,97.86,96.92,92.86,						55.61,14.54,94.96,70.89,17.11,95.85,35.49,53.40,11.50,99.70,						99.39,100.00,90.79,88.61,97.15,87.78,97.70,94.07,86.14,80.18,						88.06,79.03,96.71,77.62,59.16,88.79,73.90,37.55,58.42,100.00,						98.78,99.30,93.41,94.36,96.03,92.71,95.09,93.77,92.40,77.80,						33.67,1.85,87.79,57.62,4.28,92.60,9.08,27.92,2.57,99.11,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,						98.58,77.87,97.24,54.36,92.29,75.88,93.42,41.06
0,4,3,1,						60000,1000,5000,0.000103,47.41,						99.49,99.65,98.84,98.32,98.78,98.43,98.85,98.54,97.74,97.03,						77.45,50.31,95.74,98.91,50.20,97.31,62.42,70.23,31.72,99.41,						99.08,99.74,96.61,95.84,97.25,97.98,98.12,97.86,96.92,92.86,						57.55,10.04,91.57,98.32,21.08,96.19,27.24,53.31,9.75,98.91,						99.39,100.00,90.79,88.61,97.15,87.78,97.70,94.07,86.14,80.18,						86.94,65.29,94.67,98.81,61.91,85.43,63.88,37.26,46.30,99.31,						98.78,99.30,93.41,94.36,96.03,92.71,95.09,93.77,92.40,77.80,						34.80,2.20,82.07,96.34,6.01,90.92,6.16,22.08,1.95,96.63,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,						98.58,73.10,97.24,55.83,92.29,73.86,93.42,43.36
0,5,2,2,						60000,1000,6000,0.000101,87.59,						99.49,99.65,98.84,98.32,98.78,98.43,98.85,98.54,97.74,97.03,						78.67,59.82,99.32,99.11,56.92,96.86,67.22,74.81,49.18,99.50,						99.08,99.74,96.61,95.84,97.25,97.98,98.12,97.86,96.92,92.86,						58.16,5.73,98.64,97.72,25.36,95.29,26.41,52.33,15.71,98.71,						99.39,100.00,90.79,88.61,97.15,87.78,97.70,94.07,86.14,80.18,						88.16,73.30,98.74,98.12,66.80,85.20,68.89,46.11,60.47,99.41,						98.78,99.30,93.41,94.36,96.03,92.71,95.09,93.77,92.40,77.80,						29.39,0.44,95.93,95.74,6.01,89.01,3.55,16.93,2.36,95.54,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,						98.58,77.95,97.24,56.79,92.29,78.48,93.42,42.98
0,6,5,1,						60000,1000,7000,0.000100,30.31,						99.49,99.65,98.84,98.32,98.78,98.43,98.85,98.54,97.74,97.03,						74.69,45.20,98.84,97.92,50.10,99.33,54.49,71.98,35.73,99.21,						99.08,99.74,96.61,95.84,97.25,97.98,98.12,97.86,96.92,92.86,						54.18,3.61,98.26,95.64,18.64,98.88,19.94,51.26,9.03,98.12,						99.39,100.00,90.79,88.61,97.15,87.78,97.70,94.07,86.14,80.18,						84.59,59.82,98.16,98.02,60.29,94.84,60.86,35.31,48.15,99.21,						98.78,99.30,93.41,94.36,96.03,92.71,95.09,93.77,92.40,77.80,						27.35,0.26,95.25,92.67,3.77,96.08,2.61,17.22,1.44,93.76,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,						0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,						98.58,72.44,97.24,54.13,92.29,73.65,93.42,42.46
0,7,8,1,						60000,1000,8000,0.000101,52.90,						99.49,99.65,98.84,98.32,98.78,98.43,98.85,98.54,97.74,97.03,						80.61,46.96,98.93,98.22,52.24,99.55,66.70,75.00,88.71,99.80,						99.08,99.74,96.61,95.84,97.25,97.98,98.12,97.86,96.92,92.86,						58.78,3.70,98.06,95.94,18.84,98.65,34.03,44.16,64.17,98.22,						99.39,100.00,90.79,88.61,97.15,87.78,97.70,94.07,86.14,80.18,						87.76,59.65,97.77,97.92,62.53,95.18,73.49,45.62,94.35,99.01,						98.78,99.30,93.41,94.36,96.03,92.71,95.09,93.77,92.40,77.80,						31.22,0.35,95.54,93.96,3.56,95.52,7.10,8.66,29.36,92.27,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,						0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,						98.58,80.18,97.24,60.60,92.29,80.89,93.42,45.06
0,8,3,1,						60000,1000,9000,0.000111,15.16,						99.49,99.65,98.84,98.32,98.78,98.43,98.85,98.54,97.74,97.03,						77.65,33.57,95.74,99.80,45.82,97.09,59.81,66.15,85.42,98.91,						99.08,99.74,96.61,95.84,97.25,97.98,98.12,97.86,96.92,92.86,						63.06,9.69,94.28,99.41,20.67,94.17,30.58,48.25,63.45,97.52,						99.39,100.00,90.79,88.61,97.15,87.78,97.70,94.07,86.14,80.18,						86.22,47.93,93.80,99.80,59.57,88.57,69.00,31.13,90.35,97.92,						98.78,99.30,93.41,94.36,96.03,92.71,95.09,93.77,92.40,77.80,						40.71,1.85,87.89,98.81,5.40,88.90,9.19,16.05,30.90,87.61,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,1.00,0.00,						0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,						98.58,75.37,97.24,61.39,92.29,75.89,93.42,46.09
0,9,8,1,						60000,1000,10000,0.000100,33.29,						99.49,99.65,98.84,98.32,98.78,98.43,98.85,98.54,97.74,97.03,						73.47,13.48,95.35,99.80,48.47,97.53,61.38,63.72,97.54,98.12,						99.08,99.74,96.61,95.84,97.25,97.98,98.12,97.86,96.92,92.86,						55.00,2.47,92.34,99.41,14.26,93.83,26.20,29.18,86.04,94.75,						99.39,100.00,90.79,88.61,97.15,87.78,97.70,94.07,86.14,80.18,						83.16,22.03,92.25,99.21,57.74,88.90,65.24,30.16,99.08,96.13,						98.78,99.30,93.41,94.36,96.03,92.71,95.09,93.77,92.40,77.80,						29.90,0.35,85.47,98.61,3.16,89.46,7.20,5.84,60.88,81.86,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,2.00,0.00,						0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,						98.58,73.94,97.24,58.46,92.29,72.49,93.42,45.52
