experiment_ID, ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					acc_instance_test_first_model, acc_instance_test_before_last_model, acc_instance_test_last_model,					acc_accumilated_instances_test_first_model, acc_accumilated_instances_test_before_last_model, acc_accumilated_instances_test_last_model
0,0,1,60000,1000,1000,0.000100,61.81,98.61,98.57,27.30,27.60,27.30,27.60,98.61,98.57,27.30,27.60,27.30,27.60,94.05,94.29,76.60,73.20,76.60,73.20,27.60,27.60,73.20,27.60,27.60,73.20
0,1,2,60000,1000,2000,0.000110,66.10,98.61,98.57,20.10,21.60,23.70,24.60,94.05,94.29,1.10,0.40,38.85,36.80,93.00,93.38,55.70,61.60,63.35,65.80,21.60,0.40,61.60,24.60,36.80,65.80
0,2,1,60000,1000,3000,0.000102,61.53,98.61,98.57,29.60,31.60,25.67,26.93,93.00,93.38,27.60,30.00,51.43,53.87,87.38,88.17,78.50,81.20,64.73,66.40,31.60,30.00,81.20,26.93,53.87,66.40
0,3,2,60000,1000,4000,0.000108,0.19,98.61,98.57,32.70,31.60,27.43,28.10,87.38,88.17,12.00,12.00,51.55,52.80,93.01,93.08,43.40,42.80,53.40,55.40,31.60,12.00,42.80,28.10,52.80,55.40
0,4,0,60000,1000,5000,0.000106,21.20,98.61,98.57,14.20,15.20,24.78,25.52,93.01,93.08,35.50,39.20,49.82,52.16,83.08,83.71,81.50,86.00,59.98,60.32,15.20,39.20,86.00,25.52,52.16,60.32
0,5,1,60000,1000,6000,0.000108,96.60,98.61,98.57,23.80,22.80,24.62,25.07,83.08,83.71,9.30,10.80,51.53,52.07,84.22,84.23,40.80,38.00,53.68,54.73,22.80,10.80,38.00,25.07,52.07,54.73
0,6,2,60000,1000,7000,0.000105,96.77,98.61,98.57,16.30,18.40,23.43,24.11,84.22,84.23,34.70,38.00,50.97,52.34,80.67,80.64,62.80,65.20,55.93,55.94,18.40,38.00,65.20,24.11,52.34,55.94
0,7,1,60000,1000,8000,0.000113,97.50,98.61,98.57,37.50,38.40,25.19,25.90,80.67,80.64,30.30,33.20,52.73,53.10,83.47,83.74,78.00,78.00,57.54,58.45,38.40,33.20,78.00,25.90,53.10,58.45
0,8,2,60000,1000,9000,0.000101,43.46,98.61,98.57,27.60,31.60,25.46,26.53,83.47,83.74,18.80,26.40,53.23,54.89,83.19,83.62,52.70,57.20,54.50,56.76,31.60,26.40,57.20,26.53,54.89,56.76
0,9,1,60000,1000,10000,0.000101,3.81,98.61,98.57,27.40,25.60,25.65,26.44,83.19,83.62,36.60,35.60,52.71,54.64,81.16,81.53,68.50,69.60,52.66,55.20,25.60,35.60,69.60,26.44,54.64,55.20
