experiment_ID, ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					acc_instance_test_first_model, acc_instance_test_before_last_model, acc_instance_test_last_model,					acc_accumilated_instances_test_first_model, acc_accumilated_instances_test_before_last_model, acc_accumilated_instances_test_last_model
0,0,1,60000,1000,1000,0.000196,81.97,98.68,98.62,28.00,29.20,28.00,29.20,98.68,98.62,28.00,29.20,28.00,29.20,96.06,96.28,86.30,86.80,86.30,86.80,29.20,29.20,86.80,29.20,29.20,86.80
0,1,2,60000,1000,2000,0.000105,67.66,98.68,98.62,46.20,45.20,37.10,37.20,96.06,96.28,47.80,45.60,67.05,66.20,96.72,96.81,71.90,69.60,67.55,65.80,45.20,45.60,69.60,37.20,66.20,65.80
0,2,1,60000,1000,3000,0.000180,43.51,98.68,98.62,11.10,11.60,28.43,28.67,96.72,96.81,10.10,10.40,48.40,47.33,96.00,96.19,47.80,48.00,62.90,61.87,11.60,10.40,48.00,28.67,47.33,61.87
0,3,2,60000,1000,4000,0.000142,82.96,98.68,98.62,18.10,18.00,25.85,26.00,96.00,96.19,8.80,8.40,49.38,48.50,97.53,97.67,23.00,24.00,41.40,42.40,18.00,8.40,24.00,26.00,48.50,42.40
0,4,2,60000,1000,5000,0.000101,37.53,98.68,98.62,15.90,14.80,23.86,23.76,97.53,97.67,27.50,30.00,38.62,39.92,96.97,97.20,64.50,62.40,46.60,46.88,14.80,30.00,62.40,23.76,39.92,46.88
0,5,1,60000,1000,6000,0.000103,86.18,98.68,98.62,21.20,20.00,23.42,23.13,96.97,97.20,29.80,28.40,43.80,43.80,97.45,97.54,51.70,49.60,44.00,44.33,20.00,28.40,49.60,23.13,43.80,44.33
0,6,1,60000,1000,7000,0.000101,80.13,98.68,98.62,27.70,24.80,24.03,23.37,97.45,97.54,31.80,32.00,42.26,42.57,97.40,97.59,48.30,46.40,43.64,43.09,24.80,32.00,46.40,23.37,42.57,43.09
0,7,1,60000,1000,8000,0.000116,99.58,98.68,98.62,16.10,12.00,23.04,21.95,97.40,97.59,39.30,34.00,43.10,41.95,96.82,96.95,55.70,47.60,45.25,44.15,12.00,34.00,47.60,21.95,41.95,44.15
0,8,1,60000,1000,9000,0.000105,99.78,98.68,98.62,29.50,31.60,23.76,23.02,96.82,96.95,43.60,45.60,45.07,44.31,96.74,96.80,57.70,60.80,45.24,44.00,31.60,45.60,60.80,23.02,44.31,44.00
0,9,0,60000,1000,10000,0.000128,98.86,98.68,98.62,24.70,28.40,23.85,23.56,96.74,96.80,24.80,25.20,43.20,42.12,95.95,95.95,38.10,42.00,46.13,45.64,28.40,25.20,42.00,23.56,42.12,45.64
