experiment_ID, ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					acc_instance_test_first_model, acc_instance_test_before_last_model, acc_instance_test_last_model,					acc_accumilated_instances_test_first_model, acc_accumilated_instances_test_before_last_model, acc_accumilated_instances_test_last_model
0,0,2,60000,1000,1000,0.000100,40.00,98.64,98.62,31.80,32.00,31.80,32.00,98.64,98.62,31.80,32.00,31.80,32.00,98.03,98.00,69.90,72.00,69.90,72.00,32.00,32.00,72.00,32.00,32.00,72.00
0,1,1,60000,1000,2000,0.000200,80.00,98.64,98.62,17.90,18.40,24.85,25.20,98.03,98.00,13.30,13.20,41.60,42.60,96.76,96.78,64.00,66.00,67.80,70.40,18.40,13.20,66.00,25.20,42.60,70.40
0,2,1,60000,1000,3000,0.000500,80.00,98.64,98.62,40.40,48.80,30.03,33.07,96.76,96.78,24.00,29.60,53.20,56.80,95.88,96.04,72.70,77.20,68.73,70.40,48.80,29.60,77.20,33.07,56.80,70.40
0,3,0,60000,1000,4000,0.000400,30.00,98.64,98.62,27.60,30.00,29.43,32.30,95.88,96.04,23.00,22.00,57.30,58.30,93.48,93.74,78.10,78.00,68.17,70.50,30.00,22.00,78.00,32.30,58.30,70.50
0,4,2,60000,1000,5000,0.000300,30.00,98.64,98.62,20.50,20.40,27.64,29.92,93.48,93.74,48.10,50.40,64.16,66.48,93.83,94.18,91.10,90.80,68.54,70.40,20.40,50.40,90.80,29.92,66.48,70.40
0,5,0,60000,1000,6000,0.000500,20.00,98.64,98.62,43.30,43.60,30.25,32.20,93.83,94.18,20.10,20.00,60.47,62.00,88.94,89.03,66.30,63.20,70.53,70.53,43.60,20.00,63.20,32.20,62.00,70.53
0,6,1,60000,1000,7000,0.000700,10.00,98.64,98.62,28.80,26.00,30.04,31.31,88.94,89.03,8.90,10.00,61.73,61.89,88.74,88.85,61.90,56.80,71.59,70.40,26.00,10.00,56.80,31.31,61.89,70.40
0,7,0,60000,1000,8000,0.000700,10.00,98.64,98.62,36.30,39.60,30.82,32.35,88.74,88.85,40.30,43.20,67.67,67.00,87.18,87.27,74.90,72.80,71.19,70.60,39.60,43.20,72.80,32.35,67.00,70.60
0,8,1,60000,1000,9000,0.002000,20.00,98.64,98.62,13.20,9.20,28.87,29.78,87.18,87.27,3.70,1.60,63.69,62.93,84.96,85.03,60.80,54.40,73.19,72.58,9.20,1.60,54.40,29.78,62.93,72.58
0,9,0,60000,1000,10000,0.002000,20.00,98.64,98.62,46.20,54.40,30.60,32.24,84.96,85.03,48.30,56.00,70.70,70.92,84.00,83.99,89.70,92.80,74.08,73.08,54.40,56.00,92.80,32.24,70.92,73.08
