experiment_ID, 					ID, 					instance_ID, 					instance_digit,					instance_noise_type, 					acc_instance_before_last_model, 					acc_instance_last_model,					acc_on_task_first_model,					acc_on_task_before_last_model, 					acc_on_task_last_model					
0,0,0,9,0,18.80,72.00,92.37,92.37,99.11
0,1,0,9,0,72.00,52.80,92.37,99.11,97.72
0,1,1,0,1,32.80,90.80,99.18,95.82,100.00
0,2,0,9,0,52.80,44.80,92.37,97.72,97.22
0,2,1,0,1,90.80,83.60,99.18,100.00,100.00
0,2,2,6,2,34.40,83.20,95.82,69.73,94.78
0,3,0,9,0,44.80,67.20,92.37,97.22,98.71
0,3,1,0,1,83.60,78.80,99.18,100.00,99.90
0,3,2,6,2,83.20,80.00,95.82,94.78,91.13
0,3,3,9,0,22.00,57.60,92.37,97.22,98.71
0,4,0,9,0,67.20,82.00,92.37,98.71,99.31
0,4,1,0,1,78.80,89.60,99.18,99.90,99.90
0,4,2,6,2,80.00,85.60,95.82,91.13,90.81
0,4,3,9,0,57.60,76.40,92.37,98.71,99.31
0,4,4,8,2,3.20,19.20,90.86,48.36,68.17
0,5,0,9,0,82.00,79.60,92.37,99.31,98.41
0,5,1,0,1,89.60,98.40,99.18,99.90,100.00
0,5,2,6,2,85.60,84.40,95.82,90.81,80.17
0,5,3,9,0,76.40,74.40,92.37,99.31,98.41
0,5,4,8,2,19.20,16.80,90.86,68.17,63.35
0,5,5,0,0,39.60,82.40,98.98,98.98,99.90
0,6,0,9,0,79.60,69.20,92.37,98.41,98.22
0,6,1,0,1,98.40,98.00,99.18,100.00,100.00
0,6,2,6,2,84.40,83.60,95.82,80.17,86.64
0,6,3,9,0,74.40,68.00,92.37,98.41,98.22
0,6,4,8,2,16.80,20.40,90.86,63.35,62.11
0,6,5,0,0,82.40,80.00,98.98,99.90,99.90
0,6,6,1,1,0.00,86.00,100.00,0.18,96.92
0,7,0,9,0,69.20,76.80,92.37,98.22,98.22
0,7,1,0,1,98.00,97.20,99.18,100.00,100.00
0,7,2,6,2,83.60,71.20,95.82,86.64,86.22
0,7,3,9,0,68.00,63.20,92.37,98.22,98.22
0,7,4,8,2,20.40,38.40,90.86,62.11,83.06
0,7,5,0,0,80.00,80.40,98.98,99.90,99.69
0,7,6,1,1,86.00,82.80,100.00,96.92,94.80
0,7,7,8,2,8.00,54.80,90.86,62.11,83.06
0,8,0,9,0,76.80,69.20,92.37,98.22,98.02
0,8,1,0,1,97.20,96.00,99.18,100.00,100.00
0,8,2,6,2,71.20,46.80,95.82,86.22,73.38
0,8,3,9,0,63.20,49.20,92.37,98.22,98.02
0,8,4,8,2,38.40,63.20,90.86,83.06,92.92
0,8,5,0,0,80.40,77.20,98.98,99.69,99.59
0,8,6,1,1,82.80,78.40,100.00,94.80,94.54
0,8,7,8,2,54.80,78.40,90.86,83.06,92.92
0,8,8,8,0,40.80,84.80,96.41,86.96,95.79
0,9,0,9,0,69.20,73.60,92.37,98.02,97.42
0,9,1,0,1,96.00,96.80,99.18,100.00,100.00
0,9,2,6,2,46.80,55.20,95.82,73.38,75.16
0,9,3,9,0,49.20,51.60,92.37,98.02,97.42
