experiment_ID, ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					acc_instance_test_first_model, acc_instance_test_before_last_model, acc_instance_test_last_model,					acc_accumilated_instances_test_first_model, acc_accumilated_instances_test_before_last_model, acc_accumilated_instances_test_last_model
0,0,2,60000,1000,1000,0.000286,44.78,98.65,98.62,29.10,32.00,29.10,32.00,98.65,98.62,29.10,32.00,29.10,32.00,91.10,91.61,97.60,98.80,97.60,98.80,32.00,32.00,98.80,32.00,32.00,98.80
0,1,0,60000,1000,2000,0.000595,83.20,98.65,98.62,18.40,18.80,23.75,25.40,91.10,91.61,0.30,0.00,48.95,49.40,90.77,91.63,88.00,90.80,76.95,76.60,18.80,0.00,90.80,25.40,49.40,76.60
0,2,2,60000,1000,3000,0.000720,43.45,98.65,98.62,44.30,48.40,30.60,33.07,90.77,91.63,29.00,31.60,60.97,61.60,91.16,91.83,85.10,85.20,75.83,75.33,48.40,31.60,85.20,33.07,61.60,75.33
0,3,1,60000,1000,4000,0.000448,71.90,98.65,98.62,19.80,18.40,27.90,29.40,91.16,91.83,40.40,38.40,66.97,66.10,91.50,92.29,81.90,80.40,71.30,72.60,18.40,38.40,80.40,29.40,66.10,72.60
0,4,0,60000,1000,5000,0.000194,50.09,98.65,98.62,18.40,14.40,26.00,26.40,91.50,92.29,39.00,38.40,64.84,65.76,93.87,94.35,60.20,62.00,62.66,61.84,14.40,38.40,62.00,26.40,65.76,61.84
0,5,1,60000,1000,6000,0.000158,24.57,98.65,98.62,35.70,32.40,27.62,27.40,93.87,94.35,45.60,41.20,59.82,58.40,92.06,92.40,71.80,71.20,65.42,65.80,32.40,41.20,71.20,27.40,58.40,65.80
0,6,1,60000,1000,7000,0.000144,15.96,98.65,98.62,26.20,31.20,27.41,27.94,92.06,92.40,22.00,24.80,59.21,59.94,91.92,92.21,48.80,50.80,60.73,60.86,31.20,24.80,50.80,27.94,59.94,60.86
0,7,2,60000,1000,8000,0.000191,71.19,98.65,98.62,13.50,13.20,25.68,26.10,91.92,92.21,36.80,35.20,57.74,57.65,93.41,93.66,48.60,43.20,56.39,55.75,13.20,35.20,43.20,26.10,57.65,55.75
0,8,1,60000,1000,9000,0.000192,56.35,98.65,98.62,20.20,20.80,25.07,25.51,93.41,93.66,17.60,18.80,52.08,51.64,93.19,93.59,31.80,33.20,52.59,52.27,20.80,18.80,33.20,25.51,51.64,52.27
0,9,1,60000,1000,10000,0.000168,72.66,98.65,98.62,26.40,26.00,25.20,25.56,93.19,93.59,49.50,51.60,52.28,52.20,93.76,94.15,69.10,74.40,51.63,52.08,26.00,51.60,74.40,25.56,52.20,52.08
