experiment_ID, 					ID, 					instance_ID, 					instance_digit,					instance_noise_type, 					acc_instance_before_last_model, 					acc_instance_last_model,					acc_on_task_first_model,					acc_on_task_before_last_model, 					acc_on_task_last_model					
0,0,0,6,0,8.80,81.60,3.20,3.20,95.50
0,1,0,6,0,81.60,49.60,3.20,95.50,61.40
0,1,1,4,0,10.00,72.00,8.20,0.00,24.50
0,2,0,6,0,49.60,21.20,3.20,61.40,3.10
0,2,1,4,0,72.00,100.00,8.20,24.50,96.00
0,2,2,4,0,45.60,99.20,8.20,24.50,96.00
0,3,0,6,0,21.20,23.20,3.20,3.10,1.90
0,3,1,4,0,100.00,92.40,8.20,96.00,96.20
0,3,2,4,0,99.20,96.40,8.20,96.00,96.20
0,3,3,3,0,0.00,7.60,0.50,0.00,3.80
0,4,0,6,0,23.20,23.20,3.20,1.90,1.60
0,4,1,4,0,92.40,94.40,8.20,96.20,97.00
0,4,2,4,0,96.40,95.20,8.20,96.20,97.00
0,4,3,3,0,7.60,37.20,0.50,3.80,14.80
0,4,4,7,0,2.40,21.20,0.30,0.10,22.80
0,5,0,6,0,23.20,22.40,3.20,1.60,2.00
0,5,1,4,0,94.40,93.60,8.20,97.00,97.10
0,5,2,4,0,95.20,86.00,8.20,97.00,97.10
0,5,3,3,0,37.20,38.00,0.50,14.80,15.10
0,5,4,7,0,21.20,80.80,0.30,22.80,89.00
0,5,5,7,0,11.60,91.60,0.30,22.80,89.00
0,6,0,6,0,22.40,19.60,3.20,2.00,0.60
0,6,1,4,0,93.60,88.80,8.20,97.10,95.10
0,6,2,4,0,86.00,86.80,8.20,97.10,95.10
0,6,3,3,0,38.00,12.00,0.50,15.10,5.30
0,6,4,7,0,80.80,72.00,0.30,89.00,85.10
0,6,5,7,0,91.60,79.20,0.30,89.00,85.10
0,6,6,2,0,5.60,69.20,1.60,0.10,4.80
0,7,0,6,0,19.60,16.40,3.20,0.60,0.20
0,7,1,4,0,88.80,66.40,8.20,95.10,90.20
0,7,2,4,0,86.80,79.60,8.20,95.10,90.20
0,7,3,3,0,12.00,5.20,0.50,5.30,2.10
0,7,4,7,0,72.00,52.00,0.30,85.10,74.10
0,7,5,7,0,79.20,65.60,0.30,85.10,74.10
0,7,6,2,0,69.20,74.40,1.60,4.80,13.70
0,7,7,2,0,5.20,34.00,1.60,4.80,13.70
0,8,0,6,0,16.40,41.20,3.20,0.20,69.90
0,8,1,4,0,66.40,39.60,8.20,90.20,12.90
0,8,2,4,0,79.60,26.80,8.20,90.20,12.90
0,8,3,3,0,5.20,5.20,0.50,2.10,3.80
0,8,4,7,0,52.00,43.60,0.30,74.10,71.60
0,8,5,7,0,65.60,62.40,0.30,74.10,71.60
0,8,6,2,0,74.40,74.80,1.60,13.70,6.80
0,8,7,2,0,34.00,29.60,1.60,13.70,6.80
0,8,8,6,0,0.00,70.40,3.20,0.20,69.90
0,9,0,6,0,41.20,66.80,3.20,69.90,84.20
0,9,1,4,0,39.60,32.80,8.20,12.90,5.70
0,9,2,4,0,26.80,12.80,8.20,12.90,5.70
0,9,3,3,0,5.20,35.20,0.50,3.80,17.80
0,9,4,7,0,43.60,88.40,0.30,71.60,91.10
0,9,5,7,0,62.40,98.00,0.30,71.60,91.10
0,9,6,2,0,74.80,83.20,1.60,6.80,14.80
0,9,7,2,0,29.60,26.00,1.60,6.80,14.80
0,9,8,6,0,70.40,84.80,3.20,69.90,84.20
0,9,9,9,0,0.00,25.20,0.00,0.00,12.90
