experiment_ID, 					ID, 					instance_ID, 					instance_digit,					instance_noise_type, 					acc_instance_before_last_model, 					acc_instance_last_model,					acc_on_task_first_model,					acc_on_task_before_last_model, 					acc_on_task_last_model					
0,0,0,9,0,30.40,82.00,93.06,93.06,99.41
0,1,0,9,0,82.00,49.20,93.06,99.41,97.72
0,1,1,5,1,43.20,63.60,88.12,80.61,94.73
0,2,0,9,0,49.20,49.20,93.06,97.72,96.83
0,2,1,5,1,63.60,62.80,88.12,94.73,94.39
0,2,2,2,2,49.60,72.80,93.41,89.05,97.77
0,3,0,9,0,49.20,40.80,93.06,96.83,95.94
0,3,1,5,1,62.80,62.80,88.12,94.39,95.85
0,3,2,2,2,72.80,66.00,93.41,97.77,94.86
0,3,3,3,1,26.80,60.80,89.11,89.80,96.73
0,4,0,9,0,40.80,31.20,93.06,95.94,93.06
0,4,1,5,1,62.80,58.80,88.12,95.85,96.52
0,4,2,2,2,66.00,62.40,93.41,94.86,91.86
0,4,3,3,1,60.80,70.00,89.11,96.73,98.12
0,4,4,3,1,32.80,60.80,89.11,96.73,98.12
0,5,0,9,0,31.20,28.00,93.06,93.06,92.57
0,5,1,5,1,58.80,54.80,88.12,96.52,95.29
0,5,2,2,2,62.40,80.80,93.41,91.86,98.84
0,5,3,3,1,70.00,54.80,89.11,98.12,96.14
0,5,4,3,1,60.80,49.20,89.11,98.12,96.14
0,5,5,2,2,21.20,63.60,93.41,91.86,98.84
0,6,0,9,0,28.00,41.20,93.06,92.57,95.74
0,6,1,5,1,54.80,55.20,88.12,95.29,94.62
0,6,2,2,2,80.80,80.80,93.41,98.84,98.45
0,6,3,3,1,54.80,60.40,89.11,96.14,96.63
0,6,4,3,1,49.20,47.60,89.11,96.14,96.63
0,6,5,2,2,63.60,62.80,93.41,98.84,98.45
0,6,6,9,0,16.80,32.00,93.06,92.57,95.74
0,7,0,9,0,41.20,50.40,93.06,95.74,97.22
0,7,1,5,1,55.20,54.80,88.12,94.62,93.50
0,7,2,2,2,80.80,76.00,93.41,98.45,98.35
0,7,3,3,1,60.40,56.00,89.11,96.63,96.83
0,7,4,3,1,47.60,39.60,89.11,96.63,96.83
0,7,5,2,2,62.80,56.80,93.41,98.45,98.35
0,7,6,9,0,32.00,49.20,93.06,95.74,97.22
0,7,7,9,1,19.60,38.80,79.19,91.08,96.33
0,8,0,9,0,50.40,46.40,93.06,97.22,96.63
0,8,1,5,1,54.80,56.00,88.12,93.50,94.51
0,8,2,2,2,76.00,76.40,93.41,98.35,97.48
0,8,3,3,1,56.00,60.80,89.11,96.83,97.23
0,8,4,3,1,39.60,46.80,89.11,96.83,97.23
0,8,5,2,2,56.80,54.00,93.41,98.35,97.48
0,8,6,9,0,49.20,44.80,93.06,97.22,96.63
0,8,7,9,1,38.80,35.60,79.19,96.33,95.84
0,8,8,8,1,18.40,31.20,88.91,87.89,93.43
0,9,0,9,0,46.40,42.80,93.06,96.63,96.04
0,9,1,5,1,56.00,53.60,88.12,94.51,93.72
0,9,2,2,2,76.40,83.20,93.41,97.48,98.93
0,9,3,3,1,60.80,49.60,89.11,97.23,95.35
0,9,4,3,1,46.80,36.40,89.11,97.23,95.35
0,9,5,2,2,54.00,70.80,93.41,97.48,98.93
0,9,6,9,0,44.80,34.40,93.06,96.63,96.04
0,9,7,9,1,35.60,28.00,79.19,95.84,93.56
0,9,8,8,1,31.20,27.60,88.91,93.43,91.79
0,9,9,2,1,40.80,75.20,91.76,97.19,98.26
