experiment_ID, 					ID, 					instance_ID, 					instance_digit,					instance_noise_type, 					acc_instance_before_last_model, 					acc_instance_last_model,					acc_on_task_first_model,					acc_on_task_before_last_model, 					acc_on_task_last_model					
0,0,0,5,2,32.00,98.80,93.05,93.05,100.00
0,1,0,5,2,98.80,62.40,93.05,100.00,94.51
0,1,1,9,0,0.00,90.80,93.26,60.85,99.60
0,2,0,5,2,62.40,49.60,93.05,94.51,94.28
0,2,1,9,0,90.80,91.20,93.26,99.60,98.81
0,2,2,2,2,31.60,85.20,93.80,62.60,98.35
0,3,0,5,2,49.60,62.80,93.05,94.28,98.65
0,3,1,9,0,91.20,71.60,93.26,98.81,98.61
0,3,2,2,2,85.20,75.60,93.80,98.35,97.29
0,3,3,5,1,38.40,80.40,87.00,91.26,98.54
0,4,0,5,2,62.80,55.20,93.05,98.65,97.87
0,4,1,9,0,71.60,64.80,93.26,98.61,99.11
0,4,2,2,2,75.60,65.20,93.80,97.29,95.16
0,4,3,5,1,80.40,62.00,87.00,98.54,96.41
0,4,4,9,0,38.40,62.00,93.26,98.61,99.11
0,5,0,5,2,55.20,51.20,93.05,97.87,96.75
0,5,1,9,0,64.80,67.20,93.26,99.11,98.91
0,5,2,2,2,65.20,82.80,93.80,95.16,98.93
0,5,3,5,1,62.00,59.20,87.00,96.41,95.96
0,5,4,9,0,62.00,63.20,93.26,99.11,98.91
0,5,5,2,1,41.20,71.20,91.57,97.29,99.22
0,6,0,5,2,51.20,50.80,93.05,96.75,94.62
0,6,1,9,0,67.20,60.00,93.26,98.91,98.32
0,6,2,2,2,82.80,77.60,93.80,98.93,95.64
0,6,3,5,1,59.20,61.20,87.00,95.96,94.62
0,6,4,9,0,63.20,58.00,93.26,98.91,98.32
0,6,5,2,1,71.20,67.60,91.57,99.22,99.13
0,6,6,3,1,24.80,50.80,90.00,86.73,95.54
0,7,0,5,2,50.80,37.20,93.05,94.62,93.61
0,7,1,9,0,60.00,62.00,93.26,98.32,98.32
0,7,2,2,2,77.60,76.40,93.80,95.64,95.83
0,7,3,5,1,61.20,57.60,87.00,94.62,93.72
0,7,4,9,0,58.00,58.80,93.26,98.32,98.32
0,7,5,2,1,67.60,62.40,91.57,99.13,98.45
0,7,6,3,1,50.80,48.40,90.00,95.54,95.64
0,7,7,9,2,35.20,43.20,81.57,92.57,95.04
0,8,0,5,2,37.20,34.40,93.05,93.61,92.49
0,8,1,9,0,62.00,60.00,93.26,98.32,98.41
0,8,2,2,2,76.40,74.80,93.80,95.83,93.70
0,8,3,5,1,57.60,58.80,87.00,93.72,93.50
0,8,4,9,0,58.80,56.00,93.26,98.32,98.41
0,8,5,2,1,62.40,60.00,91.57,98.45,98.35
0,8,6,3,1,48.40,48.40,90.00,95.64,95.74
0,8,7,9,2,43.20,44.80,81.57,95.04,94.95
0,8,8,8,1,18.80,33.20,89.01,83.68,91.89
0,9,0,5,2,34.40,33.20,93.05,92.49,88.68
0,9,1,9,0,60.00,55.20,93.26,98.41,98.41
0,9,2,2,2,74.80,71.20,93.80,93.70,91.67
0,9,3,5,1,58.80,56.80,87.00,93.50,92.15
0,9,4,9,0,56.00,48.00,93.26,98.41,98.41
0,9,5,2,1,60.00,56.40,91.57,98.35,98.16
0,9,6,3,1,48.40,56.80,90.00,95.74,97.03
0,9,7,9,2,44.80,38.40,81.57,94.95,91.67
0,9,8,8,1,33.20,30.40,89.01,91.89,91.38
0,9,9,3,1,51.60,74.40,90.00,95.74,97.03
