experiment_ID, 					ID, 					latest_new_instance_digit, 					noise type, 					Initial training dataset size, 					Oversampling Size per new instance, 					accumilated_retraining_dataset_size, 					lr, 					ewc_lambda, 										acc_digit_0_original_first_model,					acc_digit_1_original_first_model,					acc_digit_2_original_first_model,					acc_digit_3_original_first_model,					acc_digit_4_original_first_model,					acc_digit_5_original_first_model,					acc_digit_6_original_first_model,					acc_digit_7_original_first_model,					acc_digit_8_original_first_model,					acc_digit_9_original_first_model,					acc_digit_0_original_last_model,					acc_digit_1_original_last_model,					acc_digit_2_original_last_model,					acc_digit_3_original_last_model,					acc_digit_4_original_last_model,					acc_digit_5_original_last_model,					acc_digit_6_original_last_model,					acc_digit_7_original_last_model,					acc_digit_8_original_last_model,					acc_digit_9_original_last_model,					acc_digit_0_noise_0_first_model,					acc_digit_1_noise_0_first_model,					acc_digit_2_noise_0_first_model,					acc_digit_3_noise_0_first_model,					acc_digit_4_noise_0_first_model,					acc_digit_5_noise_0_first_model,					acc_digit_6_noise_0_first_model,					acc_digit_7_noise_0_first_model,					acc_digit_8_noise_0_first_model,					acc_digit_9_noise_0_first_model,					acc_digit_0_noise_0_last_model,					acc_digit_1_noise_0_last_model,					acc_digit_2_noise_0_last_model,					acc_digit_3_noise_0_last_model,					acc_digit_4_noise_0_last_model,					acc_digit_5_noise_0_last_model,					acc_digit_6_noise_0_last_model,					acc_digit_7_noise_0_last_model,					acc_digit_8_noise_0_last_model,					acc_digit_9_noise_0_last_model,					acc_digit_0_noise_1_first_model,					acc_digit_1_noise_1_first_model,					acc_digit_2_noise_1_first_model,					acc_digit_3_noise_1_first_model,					acc_digit_4_noise_1_first_model,					acc_digit_5_noise_1_first_model,					acc_digit_6_noise_1_first_model,					acc_digit_7_noise_1_first_model,					acc_digit_8_noise_1_first_model,					acc_digit_9_noise_1_first_model,					acc_digit_0_noise_1_last_model,					acc_digit_1_noise_1_last_model,					acc_digit_2_noise_1_last_model,					acc_digit_3_noise_1_last_model,					acc_digit_4_noise_1_last_model,					acc_digit_5_noise_1_last_model,					acc_digit_6_noise_1_last_model,					acc_digit_7_noise_1_last_model,					acc_digit_8_noise_1_last_model,					acc_digit_9_noise_1_last_model,					acc_digit_0_noise_2_first_model,					acc_digit_1_noise_2_first_model,					acc_digit_2_noise_2_first_model,					acc_digit_3_noise_2_first_model,					acc_digit_4_noise_2_first_model,					acc_digit_5_noise_2_first_model,					acc_digit_6_noise_2_first_model,					acc_digit_7_noise_2_first_model,					acc_digit_8_noise_2_first_model,					acc_digit_9_noise_2_first_model,					acc_digit_0_noise_2_last_model,					acc_digit_1_noise_2_last_model,					acc_digit_2_noise_2_last_model,					acc_digit_3_noise_2_last_model,					acc_digit_4_noise_2_last_model,					acc_digit_5_noise_2_last_model,					acc_digit_6_noise_2_last_model,					acc_digit_7_noise_2_last_model,					acc_digit_8_noise_2_last_model,					acc_digit_9_noise_2_last_model,					acc_digit_0_noise_0_flag,					acc_digit_1_noise_0_flag,					acc_digit_2_noise_0_flag,					acc_digit_3_noise_0_flag,					acc_digit_4_noise_0_flag,					acc_digit_5_noise_0_flag,					acc_digit_6_noise_0_flag,					acc_digit_7_noise_0_flag,					acc_digit_8_noise_0_flag,					acc_digit_9_noise_0_flag,					acc_digit_0_noise_1_flag,					acc_digit_1_noise_1_flag,					acc_digit_2_noise_1_flag,					acc_digit_3_noise_1_flag,					acc_digit_4_noise_1_flag,					acc_digit_5_noise_1_flag,					acc_digit_6_noise_1_flag,					acc_digit_7_noise_1_flag,					acc_digit_8_noise_1_flag,					acc_digit_9_noise_1_flag,					acc_digit_0_noise_2_flag,					acc_digit_1_noise_2_flag,					acc_digit_2_noise_2_flag,					acc_digit_3_noise_2_flag,					acc_digit_4_noise_2_flag,					acc_digit_5_noise_2_flag,					acc_digit_6_noise_2_flag,					acc_digit_7_noise_2_flag,					acc_digit_8_noise_2_flag,					acc_digit_9_noise_2_flag,					acc_all_digits_original_first_model,					acc_all_digits_original_last_model,					acc_all_digits_noise_0_first_model,					acc_all_digits_noise_0_last_model,					acc_all_digits_noise_1_first_model,					acc_all_digits_noise_1_last_model,					acc_all_digits_noise_2_first_model,					acc_all_digits_noise_2_last_model,					
0,0,2,1,						60000,1000,1000,0.000192,32.53,						99.49,99.56,98.84,98.42,98.88,98.65,98.75,98.44,97.64,97.03,						97.45,97.44,100.00,95.35,95.42,95.74,97.49,90.56,92.20,93.76,						99.08,99.74,96.80,96.34,97.76,98.09,97.60,98.15,97.13,92.57,						94.69,91.63,100.00,91.78,88.80,90.47,93.11,82.98,83.47,77.11,						99.18,100.00,91.38,88.71,97.45,88.68,97.39,94.46,86.55,76.51,						98.78,98.94,99.81,83.17,95.72,81.73,97.70,88.91,82.75,75.12,						98.78,99.38,92.64,93.66,96.95,92.60,95.09,94.46,91.89,76.61,						85.20,79.38,99.90,85.74,74.03,79.71,80.38,67.90,65.09,40.54,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						98.58,95.56,97.34,89.42,92.13,90.44,93.26,75.82
0,1,5,2,						60000,1000,2000,0.000497,78.70,						99.49,99.56,98.84,98.42,98.88,98.65,98.75,98.44,97.64,97.03,						96.53,97.62,100.00,95.64,94.20,99.78,91.75,90.66,89.01,90.29,						99.08,99.74,96.80,96.34,97.76,98.09,97.60,98.15,97.13,92.57,						93.98,90.22,99.90,91.88,84.93,99.78,86.95,84.53,78.75,71.16,						99.18,100.00,91.38,88.71,97.45,88.68,97.39,94.46,86.55,76.51,						99.08,98.94,99.81,83.66,96.23,97.65,97.81,89.11,81.72,67.79,						98.78,99.38,92.64,93.66,96.95,92.60,95.09,94.46,91.89,76.61,						83.27,70.66,99.42,86.44,65.78,98.88,74.74,72.08,53.49,28.84,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,						98.58,94.56,97.34,88.15,92.13,91.18,93.26,73.14
0,2,9,1,						60000,1000,3000,0.000324,54.67,						99.49,99.56,98.84,98.42,98.88,98.65,98.75,98.44,97.64,97.03,						98.47,94.89,99.81,96.83,86.15,99.66,92.80,94.75,89.01,98.81,						99.08,99.74,96.80,96.34,97.76,98.09,97.60,98.15,97.13,92.57,						97.14,90.22,99.42,93.76,80.65,99.55,89.46,91.05,84.09,96.13,						99.18,100.00,91.38,88.71,97.45,88.68,97.39,94.46,86.55,76.51,						99.08,96.48,99.22,85.15,79.84,95.96,94.68,93.00,76.69,97.03,						98.78,99.38,92.64,93.66,96.95,92.60,95.09,94.46,91.89,76.61,						92.45,70.31,99.22,91.49,69.65,98.54,79.85,84.92,66.12,88.80,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,						0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,						98.58,95.12,97.34,92.11,92.13,91.79,93.26,83.93
0,3,3,1,						60000,1000,4000,0.000163,38.05,						99.49,99.56,98.84,98.42,98.88,98.65,98.75,98.44,97.64,97.03,						98.06,97.62,99.13,99.41,88.80,98.77,91.65,97.08,89.22,97.52,						99.08,99.74,96.80,96.34,97.76,98.09,97.60,98.15,97.13,92.57,						97.45,94.98,98.26,99.01,84.83,98.43,87.68,94.94,82.65,93.56,						99.18,100.00,91.38,88.71,97.45,88.68,97.39,94.46,86.55,76.51,						99.59,99.12,97.87,96.34,91.14,95.18,96.97,96.21,86.96,93.76,						98.78,99.38,92.64,93.66,96.95,92.60,95.09,94.46,91.89,76.61,						92.35,82.20,95.74,97.82,71.79,95.29,77.87,88.91,65.09,78.20,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,						0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,						98.58,95.78,97.34,93.23,92.13,95.39,93.26,84.52
0,4,5,1,						60000,1000,5000,0.000133,89.77,						99.49,99.56,98.84,98.42,98.88,98.65,98.75,98.44,97.64,97.03,						97.86,98.15,98.55,98.81,92.06,99.55,89.77,98.15,90.04,97.32,						99.08,99.74,96.80,96.34,97.76,98.09,97.60,98.15,97.13,92.57,						97.35,96.83,97.38,98.42,87.58,99.44,86.53,96.79,84.29,92.77,						99.18,100.00,91.38,88.71,97.45,88.68,97.39,94.46,86.55,76.51,						98.98,99.30,96.71,95.15,94.40,97.76,96.24,96.98,88.71,89.89,						98.78,99.38,92.64,93.66,96.95,92.60,95.09,94.46,91.89,76.61,						91.12,87.84,93.70,96.93,76.99,97.87,76.41,92.32,68.99,76.71,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,						0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,						98.58,96.08,97.34,93.80,92.13,95.45,93.26,85.92
0,5,9,0,						60000,1000,6000,0.000169,76.39,						99.49,99.56,98.84,98.42,98.88,98.65,98.75,98.44,97.64,97.03,						97.04,97.18,98.84,98.91,83.71,99.78,85.18,98.15,84.29,98.41,						99.08,99.74,96.80,96.34,97.76,98.09,97.60,98.15,97.13,92.57,						96.02,93.48,96.71,98.12,76.37,99.66,80.06,96.79,77.31,96.63,						99.18,100.00,91.38,88.71,97.45,88.68,97.39,94.46,86.55,76.51,						98.88,98.85,96.61,95.45,87.58,97.31,92.69,95.91,85.83,93.46,						98.78,99.38,92.64,93.66,96.95,92.60,95.09,94.46,91.89,76.61,						89.39,80.97,91.76,97.23,62.32,97.76,65.03,92.22,58.52,88.21,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,						0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,						0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,						98.58,94.24,97.34,91.20,92.13,94.33,93.26,82.39
0,6,9,2,						60000,1000,7000,0.000119,93.67,						99.49,99.56,98.84,98.42,98.88,98.65,98.75,98.44,97.64,97.03,						98.16,97.89,98.55,98.81,88.59,99.66,91.34,98.25,89.94,98.81,						99.08,99.74,96.80,96.34,97.76,98.09,97.60,98.15,97.13,92.57,						97.86,96.92,97.29,98.02,82.69,99.55,87.58,96.79,85.01,97.22,						99.18,100.00,91.38,88.71,97.45,88.68,97.39,94.46,86.55,76.51,						99.18,99.12,95.45,95.35,90.94,97.09,95.41,96.30,87.78,94.15,						98.78,99.38,92.64,93.66,96.95,92.60,95.09,94.46,91.89,76.61,						93.78,91.01,92.64,96.63,74.13,97.65,77.35,93.87,71.56,92.47,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,						0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,						0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,						98.58,96.05,97.34,93.96,92.13,95.13,93.26,88.19
0,7,2,2,						60000,1000,8000,0.000107,46.93,						99.49,99.56,98.84,98.42,98.88,98.65,98.75,98.44,97.64,97.03,						97.24,97.44,99.22,98.71,85.03,99.66,87.79,98.05,86.65,98.71,						99.08,99.74,96.80,96.34,97.76,98.09,97.60,98.15,97.13,92.57,						96.02,92.95,97.97,98.12,75.97,99.44,82.46,96.40,78.85,97.32,						99.18,100.00,91.38,88.71,97.45,88.68,97.39,94.46,86.55,76.51,						99.29,98.94,97.48,95.35,87.88,97.09,94.89,95.82,86.86,95.04,						98.78,99.38,92.64,93.66,96.95,92.60,95.09,94.46,91.89,76.61,						90.41,80.00,96.03,96.73,61.91,97.65,66.91,90.76,59.14,90.58,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,						0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,						0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,						98.58,94.93,97.34,91.62,92.13,94.93,93.26,83.05
0,8,3,1,						60000,1000,9000,0.000107,48.81,						99.49,99.56,98.84,98.42,98.88,98.65,98.75,98.44,97.64,97.03,						97.35,96.92,98.26,99.41,82.08,99.10,83.92,97.86,83.16,98.41,						99.08,99.74,96.80,96.34,97.76,98.09,97.60,98.15,97.13,92.57,						95.61,89.87,95.64,99.31,69.96,99.10,73.38,95.23,72.48,96.33,						99.18,100.00,91.38,88.71,97.45,88.68,97.39,94.46,86.55,76.51,						98.98,98.50,96.90,98.42,85.13,96.75,91.54,95.53,85.42,94.75,						98.78,99.38,92.64,93.66,96.95,92.60,95.09,94.46,91.89,76.61,						88.67,73.74,88.95,98.32,54.68,95.63,55.32,85.99,51.23,86.62,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,						0.00,0.00,1.00,2.00,0.00,1.00,0.00,0.00,0.00,1.00,						0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,						98.58,93.75,97.34,88.78,92.13,94.28,93.26,77.94
0,9,3,1,						60000,1000,10000,0.000138,64.66,						99.49,99.56,98.84,98.42,98.88,98.65,98.75,98.44,97.64,97.03,						96.33,95.24,96.41,99.70,75.76,98.65,78.71,97.37,70.33,97.62,						99.08,99.74,96.80,96.34,97.76,98.09,97.60,98.15,97.13,92.57,						93.47,80.53,92.05,99.70,60.90,96.86,64.09,93.58,54.52,94.45,						99.18,100.00,91.38,88.71,97.45,88.68,97.39,94.46,86.55,76.51,						98.67,97.80,96.32,99.21,82.48,94.73,87.58,95.14,77.93,94.65,						98.78,99.38,92.64,93.66,96.95,92.60,95.09,94.46,91.89,76.61,						83.57,55.42,83.33,99.21,41.24,90.36,41.65,81.13,30.49,78.10,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,						0.00,0.00,1.00,3.00,0.00,1.00,0.00,0.00,0.00,1.00,						0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,						98.58,90.76,97.34,83.09,92.13,92.59,93.26,68.39
