experiment_ID, ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					acc_instance_test_first_model, acc_instance_test_before_last_model, acc_instance_test_last_model,					acc_accumilated_instances_test_first_model, acc_accumilated_instances_test_before_last_model, acc_accumilated_instances_test_last_model
0,0,1,60000,1000,1000,0.000261,68.44,98.65,98.65,45.10,41.20,45.10,41.20,98.65,98.65,45.10,41.20,45.10,41.20,96.51,96.72,96.40,96.00,96.40,96.00,41.20,41.20,96.00,41.20,41.20,96.00
0,1,2,60000,1000,2000,0.000315,35.63,98.65,98.65,13.60,13.20,29.35,27.20,96.51,96.72,4.90,4.40,50.65,50.20,94.32,94.68,84.30,83.60,88.70,88.40,13.20,4.40,83.60,27.20,50.20,88.40
0,2,2,60000,1000,3000,0.000779,93.26,98.65,98.65,39.60,41.60,32.77,32.00,94.32,94.68,16.40,19.20,64.60,65.33,94.45,94.86,64.20,65.60,74.27,73.73,41.60,19.20,65.60,32.00,65.33,73.73
0,3,2,60000,1000,4000,0.000731,67.29,98.65,98.65,42.70,46.00,35.25,35.50,94.45,94.86,12.70,16.40,58.88,59.40,94.72,95.12,65.50,66.40,66.62,65.80,46.00,16.40,66.40,35.50,59.40,65.80
0,4,1,60000,1000,5000,0.001285,57.35,98.65,98.65,38.00,42.80,35.80,36.96,94.72,95.12,18.80,22.40,57.06,57.12,94.47,95.01,86.90,86.00,72.22,72.40,42.80,22.40,86.00,36.96,57.12,72.40
0,5,1,60000,1000,6000,0.001016,65.23,98.65,98.65,37.70,40.00,36.12,37.47,94.47,95.01,42.30,40.80,67.23,67.13,94.44,95.01,78.90,81.20,68.07,68.53,40.00,40.80,81.20,37.47,67.13,68.53
0,6,1,60000,1000,7000,0.000199,53.49,98.65,98.65,31.40,32.80,35.44,36.80,94.44,95.01,32.30,31.60,62.96,63.26,96.14,96.38,49.20,48.80,54.41,54.17,32.80,31.60,48.80,36.80,63.26,54.17
0,7,0,60000,1000,8000,0.000526,87.99,98.65,98.65,12.80,13.20,32.61,33.85,96.14,96.38,9.00,8.80,48.74,48.50,96.19,96.50,26.20,25.20,52.70,52.40,13.20,8.80,25.20,33.85,48.50,52.40
0,8,2,60000,1000,9000,0.000453,86.78,98.65,98.65,18.80,18.00,31.08,32.09,96.19,96.50,13.20,11.20,48.31,47.82,96.47,96.73,36.90,34.00,49.26,49.87,18.00,11.20,34.00,32.09,47.82,49.87
0,9,1,60000,1000,10000,0.000377,99.33,98.65,98.65,30.30,33.60,31.00,32.24,96.47,96.73,38.00,38.40,48.13,48.72,96.56,96.77,62.70,63.60,48.08,49.04,33.60,38.40,63.60,32.24,48.72,49.04
