experiment_ID, ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					acc_instance_test_first_model, acc_instance_test_before_last_model, acc_instance_test_last_model,					acc_accumilated_instances_test_first_model, acc_accumilated_instances_test_before_last_model, acc_accumilated_instances_test_last_model
0,0,2,60000,1000,1000,0.000769,66.75,98.65,98.65,22.30,20.80,22.30,20.80,98.65,98.65,22.30,20.80,22.30,20.80,91.10,91.25,96.90,96.00,96.90,96.00,20.80,20.80,96.00,20.80,20.80,96.00
0,1,2,60000,1000,2000,0.000429,92.19,98.65,98.65,9.60,9.20,15.95,15.00,91.10,91.25,0.70,0.40,48.80,48.20,93.57,93.84,83.10,80.80,69.00,69.80,9.20,0.40,80.80,15.00,48.20,69.80
0,2,1,60000,1000,3000,0.000469,99.69,98.65,98.65,29.40,34.00,20.43,21.33,93.57,93.84,19.80,20.00,52.60,53.20,93.25,93.47,79.10,76.00,66.03,65.07,34.00,20.00,76.00,21.33,53.20,65.07
0,3,2,60000,1000,4000,0.000442,13.14,98.65,98.65,26.80,31.20,22.02,23.80,93.25,93.47,9.60,12.00,51.92,51.80,92.63,93.23,50.60,51.20,61.20,61.50,31.20,12.00,51.20,23.80,51.80,61.50
0,4,1,60000,1000,5000,0.000586,61.82,98.65,98.65,24.30,20.40,22.48,23.12,92.63,93.23,45.80,46.00,58.12,58.40,92.59,93.02,86.30,84.40,59.24,60.16,20.40,46.00,84.40,23.12,58.40,60.16
0,5,2,60000,1000,6000,0.000396,58.91,98.65,98.65,9.30,10.40,20.28,21.00,92.59,93.02,26.40,28.00,53.77,54.80,92.08,92.60,56.30,55.60,56.42,55.53,10.40,28.00,55.60,21.00,54.80,55.53
0,6,1,60000,1000,7000,0.000102,5.62,98.65,98.65,27.40,28.40,21.30,22.06,92.08,92.60,15.00,16.00,50.50,49.89,94.16,94.41,61.70,63.20,49.13,49.09,28.40,16.00,63.20,22.06,49.89,49.09
0,7,2,60000,1000,8000,0.000305,71.19,98.65,98.65,30.20,26.40,22.41,22.60,94.16,94.41,44.30,36.80,48.52,47.55,93.59,93.97,64.60,58.80,49.74,48.85,26.40,36.80,58.80,22.60,47.55,48.85
0,8,1,60000,1000,9000,0.000197,83.26,98.65,98.65,27.60,28.80,22.99,23.29,93.59,93.97,41.90,41.20,48.87,48.00,94.50,94.95,57.60,57.20,45.98,45.73,28.80,41.20,57.20,23.29,48.00,45.73
0,9,2,60000,1000,10000,0.000111,37.35,98.65,98.65,27.90,28.00,23.48,23.76,94.50,94.95,48.70,45.60,46.25,45.72,94.84,95.19,61.50,56.80,47.49,46.64,28.00,45.60,56.80,23.76,45.72,46.64
