experiment_ID, 					ID, 					latest_new_instance_digit, 					noise type, 					Initial training dataset size, 					Oversampling Size per new instance, 					accumilated_retraining_dataset_size, 					lr, 					ewc_lambda, 										acc_digit_0_original_first_model,					acc_digit_1_original_first_model,					acc_digit_2_original_first_model,					acc_digit_3_original_first_model,					acc_digit_4_original_first_model,					acc_digit_5_original_first_model,					acc_digit_6_original_first_model,					acc_digit_7_original_first_model,					acc_digit_8_original_first_model,					acc_digit_9_original_first_model,					acc_digit_0_original_last_model,					acc_digit_1_original_last_model,					acc_digit_2_original_last_model,					acc_digit_3_original_last_model,					acc_digit_4_original_last_model,					acc_digit_5_original_last_model,					acc_digit_6_original_last_model,					acc_digit_7_original_last_model,					acc_digit_8_original_last_model,					acc_digit_9_original_last_model,					acc_digit_0_noise_0_first_model,					acc_digit_1_noise_0_first_model,					acc_digit_2_noise_0_first_model,					acc_digit_3_noise_0_first_model,					acc_digit_4_noise_0_first_model,					acc_digit_5_noise_0_first_model,					acc_digit_6_noise_0_first_model,					acc_digit_7_noise_0_first_model,					acc_digit_8_noise_0_first_model,					acc_digit_9_noise_0_first_model,					acc_digit_0_noise_0_last_model,					acc_digit_1_noise_0_last_model,					acc_digit_2_noise_0_last_model,					acc_digit_3_noise_0_last_model,					acc_digit_4_noise_0_last_model,					acc_digit_5_noise_0_last_model,					acc_digit_6_noise_0_last_model,					acc_digit_7_noise_0_last_model,					acc_digit_8_noise_0_last_model,					acc_digit_9_noise_0_last_model,					acc_digit_0_noise_1_first_model,					acc_digit_1_noise_1_first_model,					acc_digit_2_noise_1_first_model,					acc_digit_3_noise_1_first_model,					acc_digit_4_noise_1_first_model,					acc_digit_5_noise_1_first_model,					acc_digit_6_noise_1_first_model,					acc_digit_7_noise_1_first_model,					acc_digit_8_noise_1_first_model,					acc_digit_9_noise_1_first_model,					acc_digit_0_noise_1_last_model,					acc_digit_1_noise_1_last_model,					acc_digit_2_noise_1_last_model,					acc_digit_3_noise_1_last_model,					acc_digit_4_noise_1_last_model,					acc_digit_5_noise_1_last_model,					acc_digit_6_noise_1_last_model,					acc_digit_7_noise_1_last_model,					acc_digit_8_noise_1_last_model,					acc_digit_9_noise_1_last_model,					acc_digit_0_noise_2_first_model,					acc_digit_1_noise_2_first_model,					acc_digit_2_noise_2_first_model,					acc_digit_3_noise_2_first_model,					acc_digit_4_noise_2_first_model,					acc_digit_5_noise_2_first_model,					acc_digit_6_noise_2_first_model,					acc_digit_7_noise_2_first_model,					acc_digit_8_noise_2_first_model,					acc_digit_9_noise_2_first_model,					acc_digit_0_noise_2_last_model,					acc_digit_1_noise_2_last_model,					acc_digit_2_noise_2_last_model,					acc_digit_3_noise_2_last_model,					acc_digit_4_noise_2_last_model,					acc_digit_5_noise_2_last_model,					acc_digit_6_noise_2_last_model,					acc_digit_7_noise_2_last_model,					acc_digit_8_noise_2_last_model,					acc_digit_9_noise_2_last_model,					acc_digit_0_noise_0_flag,					acc_digit_1_noise_0_flag,					acc_digit_2_noise_0_flag,					acc_digit_3_noise_0_flag,					acc_digit_4_noise_0_flag,					acc_digit_5_noise_0_flag,					acc_digit_6_noise_0_flag,					acc_digit_7_noise_0_flag,					acc_digit_8_noise_0_flag,					acc_digit_9_noise_0_flag,					acc_digit_0_noise_1_flag,					acc_digit_1_noise_1_flag,					acc_digit_2_noise_1_flag,					acc_digit_3_noise_1_flag,					acc_digit_4_noise_1_flag,					acc_digit_5_noise_1_flag,					acc_digit_6_noise_1_flag,					acc_digit_7_noise_1_flag,					acc_digit_8_noise_1_flag,					acc_digit_9_noise_1_flag,					acc_digit_0_noise_2_flag,					acc_digit_1_noise_2_flag,					acc_digit_2_noise_2_flag,					acc_digit_3_noise_2_flag,					acc_digit_4_noise_2_flag,					acc_digit_5_noise_2_flag,					acc_digit_6_noise_2_flag,					acc_digit_7_noise_2_flag,					acc_digit_8_noise_2_flag,					acc_digit_9_noise_2_flag,					acc_all_digits_original_first_model,					acc_all_digits_original_last_model,					acc_all_digits_noise_0_first_model,					acc_all_digits_noise_0_last_model,					acc_all_digits_noise_1_first_model,					acc_all_digits_noise_1_last_model,					acc_all_digits_noise_2_first_model,					acc_all_digits_noise_2_last_model,					
0,0,9,2,						60000,1000,1000,0.000475,35.90,						99.49,99.65,99.03,98.22,98.88,98.77,98.85,98.44,97.64,97.22,						92.14,97.00,93.22,92.18,71.49,94.28,93.01,93.87,86.04,100.00,						99.08,99.74,96.90,95.94,97.25,98.32,97.29,98.05,97.33,92.67,						81.43,83.96,78.68,78.61,52.55,82.74,82.88,86.67,71.66,99.90,						99.29,100.00,91.28,88.61,97.45,88.90,97.60,94.16,87.27,81.37,						89.39,98.33,80.91,62.28,69.76,68.50,88.62,88.33,69.71,99.50,						98.57,99.21,93.12,93.96,96.03,93.83,95.20,94.26,92.09,77.50,						56.73,42.47,52.52,43.07,35.95,59.08,46.76,68.97,39.63,100.00,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,						98.63,91.43,97.27,80.02,92.69,81.92,93.42,54.47
0,1,5,1,						60000,1000,2000,0.000530,44.11,						99.49,99.65,99.03,98.22,98.88,98.77,98.85,98.44,97.64,97.22,						90.20,96.30,83.91,89.11,75.15,99.89,70.98,92.32,80.18,99.11,						99.08,99.74,96.90,95.94,97.25,98.32,97.29,98.05,97.33,92.67,						75.92,83.26,64.83,70.99,53.36,99.55,50.10,82.78,62.83,99.21,						99.29,100.00,91.28,88.61,97.45,88.90,97.60,94.16,87.27,81.37,						94.80,98.59,77.23,74.46,81.67,98.32,82.05,91.25,82.85,98.51,						98.57,99.21,93.12,93.96,96.03,93.83,95.20,94.26,92.09,77.50,						45.61,42.82,33.33,49.01,32.38,98.65,18.58,58.85,34.50,98.81,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,						98.63,87.82,97.27,74.31,92.69,88.01,93.42,50.86
0,2,2,1,						60000,1000,3000,0.000638,53.47,						99.49,99.65,99.03,98.22,98.88,98.77,98.85,98.44,97.64,97.22,						87.45,90.57,99.81,92.97,79.33,99.78,69.52,93.68,74.64,98.91,						99.08,99.74,96.90,95.94,97.25,98.32,97.29,98.05,97.33,92.67,						68.98,57.53,99.22,80.40,57.54,99.22,39.14,86.67,47.13,99.21,						99.29,100.00,91.28,88.61,97.45,88.90,97.60,94.16,87.27,81.37,						91.84,95.24,99.13,68.71,83.20,98.09,81.52,89.69,62.73,97.42,						98.57,99.21,93.12,93.96,96.03,93.83,95.20,94.26,92.09,77.50,						41.12,8.90,97.29,59.80,34.73,98.09,9.60,69.65,16.22,97.32,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,						98.63,88.77,97.27,73.41,92.69,86.87,93.42,52.76
0,3,8,1,						60000,1000,4000,0.000792,95.99,						99.49,99.65,99.03,98.22,98.88,98.77,98.85,98.44,97.64,97.22,						94.59,71.28,99.32,95.35,76.78,99.78,80.06,96.01,97.74,98.22,						99.08,99.74,96.90,95.94,97.25,98.32,97.29,98.05,97.33,92.67,						88.47,16.48,98.16,88.71,54.28,98.99,62.53,90.86,95.59,97.42,						99.29,100.00,91.28,88.61,97.45,88.90,97.60,94.16,87.27,81.37,						98.57,80.09,98.26,81.49,76.78,95.52,84.86,91.44,98.46,87.02,						98.57,99.21,93.12,93.96,96.03,93.83,95.20,94.26,92.09,77.50,						67.35,1.50,93.02,77.82,29.23,97.31,26.20,79.86,87.47,95.34,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,						98.63,90.65,97.27,78.26,92.69,89.08,93.42,64.64
0,4,9,2,						60000,1000,5000,0.000875,90.71,						99.49,99.65,99.03,98.22,98.88,98.77,98.85,98.44,97.64,97.22,						91.94,72.16,99.03,94.16,64.56,99.78,73.70,92.70,96.10,99.50,						99.08,99.74,96.90,95.94,97.25,98.32,97.29,98.05,97.33,92.67,						79.90,8.46,96.41,85.15,34.01,98.32,43.22,85.41,90.55,99.41,						99.29,100.00,91.28,88.61,97.45,88.90,97.60,94.16,87.27,81.37,						98.47,81.41,98.16,80.50,67.82,95.52,79.65,91.73,97.33,95.74,						98.57,99.21,93.12,93.96,96.03,93.83,95.20,94.26,92.09,77.50,						48.27,0.26,87.02,62.38,8.96,92.94,9.08,59.14,70.64,99.31,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,						98.63,88.16,97.27,71.22,92.69,88.53,93.42,53.06
0,5,2,2,						60000,1000,6000,0.000372,81.75,						99.49,99.65,99.03,98.22,98.88,98.77,98.85,98.44,97.64,97.22,						96.02,89.07,99.61,95.35,68.64,99.44,83.72,95.33,95.69,99.31,						99.08,99.74,96.90,95.94,97.25,98.32,97.29,98.05,97.33,92.67,						87.04,41.15,99.32,90.50,38.59,98.32,63.88,88.91,91.27,98.81,						99.29,100.00,91.28,88.61,97.45,88.90,97.60,94.16,87.27,81.37,						98.88,92.95,98.93,85.64,69.14,96.19,89.67,93.19,96.20,95.94,						98.57,99.21,93.12,93.96,96.03,93.83,95.20,94.26,92.09,77.50,						71.94,8.72,98.74,81.29,15.68,93.95,31.00,72.67,76.59,97.03,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,						0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,						0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,						98.63,92.20,97.27,79.27,92.69,91.69,93.42,64.05
0,6,9,0,						60000,1000,7000,0.000587,78.83,						99.49,99.65,99.03,98.22,98.88,98.77,98.85,98.44,97.64,97.22,						90.92,83.52,99.61,93.07,61.61,99.10,75.89,89.69,93.22,100.00,						99.08,99.74,96.90,95.94,97.25,98.32,97.29,98.05,97.33,92.67,						76.33,16.12,99.03,83.96,26.48,96.52,45.30,75.78,82.44,99.60,						99.29,100.00,91.28,88.61,97.45,88.90,97.60,94.16,87.27,81.37,						97.76,88.72,98.35,78.91,62.73,95.40,82.57,87.55,95.28,98.61,						98.57,99.21,93.12,93.96,96.03,93.83,95.20,94.26,92.09,77.50,						47.04,1.06,96.90,67.52,6.92,88.00,12.84,46.60,56.98,98.91,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,						0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,						0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,						98.63,88.62,97.27,69.43,92.69,88.58,93.42,51.63
0,7,3,1,						60000,1000,8000,0.000327,94.72,						99.49,99.65,99.03,98.22,98.88,98.77,98.85,98.44,97.64,97.22,						92.35,89.69,99.52,98.32,65.78,99.44,77.56,94.75,92.09,99.60,						99.08,99.74,96.90,95.94,97.25,98.32,97.29,98.05,97.33,92.67,						76.73,33.13,98.74,96.93,31.77,97.53,53.44,86.48,81.42,99.01,						99.29,100.00,91.28,88.61,97.45,88.90,97.60,94.16,87.27,81.37,						97.96,94.63,98.45,94.16,66.19,96.30,84.34,92.41,93.63,98.22,						98.57,99.21,93.12,93.96,96.03,93.83,95.20,94.26,92.09,77.50,						51.43,6.96,95.54,95.05,10.18,91.26,17.95,65.08,56.98,97.52,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,						0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,						0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,						98.63,90.95,97.27,75.01,92.69,91.71,93.42,58.23
0,8,5,1,						60000,1000,9000,0.000140,48.05,						99.49,99.65,99.03,98.22,98.88,98.77,98.85,98.44,97.64,97.22,						95.61,93.39,99.42,98.61,70.26,99.66,77.35,96.98,92.61,99.01,						99.08,99.74,96.90,95.94,97.25,98.32,97.29,98.05,97.33,92.67,						88.47,61.41,98.26,96.63,43.08,99.66,53.24,93.39,83.26,97.62,						99.29,100.00,91.28,88.61,97.45,88.90,97.60,94.16,87.27,81.37,						97.96,96.56,97.87,94.65,68.94,97.76,83.51,94.75,93.74,97.13,						98.57,99.21,93.12,93.96,96.03,93.83,95.20,94.26,92.09,77.50,						74.29,25.46,95.25,93.96,20.16,97.09,22.44,79.77,63.04,94.05,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,						0.00,0.00,1.00,1.00,0.00,2.00,0.00,0.00,1.00,0.00,						0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,						98.63,92.37,97.27,81.32,92.69,92.38,93.42,66.11
0,9,3,1,						60000,1000,10000,0.000171,90.05,						99.49,99.65,99.03,98.22,98.88,98.77,98.85,98.44,97.64,97.22,						94.39,93.48,98.93,99.41,69.55,99.10,74.01,97.08,91.17,98.81,						99.08,99.74,96.90,95.94,97.25,98.32,97.29,98.05,97.33,92.67,						83.98,58.85,97.67,98.81,40.53,99.10,43.74,93.39,79.06,97.72,						99.29,100.00,91.28,88.61,97.45,88.90,97.60,94.16,87.27,81.37,						98.06,96.83,97.97,97.03,69.45,96.97,81.52,94.36,92.51,96.73,						98.57,99.21,93.12,93.96,96.03,93.83,95.20,94.26,92.09,77.50,						65.82,19.65,92.34,97.03,16.40,94.73,15.14,78.50,53.80,92.27,						0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,						0.00,0.00,1.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,						0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,						98.63,91.70,97.27,79.14,92.69,92.26,93.42,62.14
