experiment_ID, ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					acc_instance_test_first_model, acc_instance_test_before_last_model, acc_instance_test_last_model,					acc_accumilated_instances_test_first_model, acc_accumilated_instances_test_before_last_model, acc_accumilated_instances_test_last_model
14,2,2,60000,1000,3000,0.000200,100.00,98.78,98.76,40.10,43.20,39.40,41.47,97.70,97.62,34.00,40.40,58.67,60.40,97.80,97.85,84.40,83.60,70.47,70.13,43.20,40.40,83.60,41.47,60.40,70.13
14,3,1,60000,1000,4000,0.000200,90.00,98.78,98.76,46.90,48.40,41.27,43.20,97.80,97.85,40.00,42.40,62.85,63.20,98.12,98.12,89.70,85.60,71.22,70.00,48.40,42.40,85.60,43.20,63.20,70.00
14,4,2,60000,1000,5000,0.000300,100.00,98.78,98.76,35.90,29.60,40.20,40.48,98.12,98.12,34.90,30.80,63.96,62.16,97.77,97.88,79.60,74.00,71.26,70.24,29.60,30.80,74.00,40.48,62.16,70.24
14,5,0,60000,1000,6000,0.000400,70.00,98.78,98.76,36.80,31.20,39.63,38.93,97.77,97.88,25.70,21.60,63.67,62.13,97.36,97.36,59.70,59.20,70.42,70.27,31.20,21.60,59.20,38.93,62.13,70.27
14,6,1,60000,1000,7000,0.000600,90.00,98.78,98.76,39.40,40.40,39.60,39.14,97.36,97.36,14.80,13.20,62.47,62.11,97.31,97.59,73.00,68.80,71.17,70.40,40.40,13.20,68.80,39.14,62.11,70.40
14,7,2,60000,1000,8000,0.000700,90.00,98.78,98.76,28.30,36.40,38.19,38.80,97.31,97.59,23.50,27.20,65.21,65.00,96.83,97.03,63.60,68.00,70.26,70.30,36.40,27.20,68.00,38.80,65.00,70.30
14,8,2,60000,1000,9000,0.000700,30.00,98.78,98.76,23.80,23.60,36.59,37.11,96.83,97.03,13.70,15.60,63.98,64.22,96.87,97.23,35.50,37.60,69.86,70.40,23.60,15.60,37.60,37.11,64.22,70.40
14,9,0,60000,1000,10000,0.001000,30.00,98.78,98.76,27.20,23.60,35.65,35.76,96.87,97.23,33.30,30.40,66.20,66.40,96.88,97.06,72.00,68.40,72.09,71.00,23.60,30.40,68.40,35.76,66.40,71.00
15,0,1,60000,1000,1000,0.000100,100.00,98.77,98.85,32.00,35.60,32.00,35.60,98.77,98.85,32.00,35.60,32.00,35.60,97.98,97.91,68.60,72.80,68.60,72.80,35.60,35.60,72.80,35.60,35.60,72.80
15,1,2,60000,1000,2000,0.000200,100.00,98.77,98.85,43.60,41.20,37.80,38.40,97.98,97.91,27.30,25.20,47.95,49.00,97.59,97.52,75.90,74.80,70.40,71.80,41.20,25.20,74.80,38.40,49.00,71.80
15,2,0,60000,1000,3000,0.000200,60.00,98.77,98.85,35.60,37.60,37.07,38.13,97.59,97.52,18.80,18.00,53.20,53.87,97.66,97.75,76.40,80.40,68.43,71.47,37.60,18.00,80.40,38.13,53.87,71.47
15,3,2,60000,1000,4000,0.000700,100.00,98.77,98.85,1.90,1.60,28.27,29.00,97.66,97.75,0.40,0.40,51.42,53.70,94.97,95.32,33.40,38.40,68.10,71.10,1.60,0.40,38.40,29.00,53.70,71.10
15,4,0,60000,1000,5000,0.000500,20.00,98.77,98.85,49.80,44.80,32.58,32.16,94.97,95.32,30.30,28.40,60.54,62.56,94.10,94.64,76.50,71.60,68.62,70.16,44.80,28.40,71.60,32.16,62.56,70.16
15,5,1,60000,1000,6000,0.001000,40.00,98.77,98.85,37.80,37.60,33.45,33.07,94.10,94.64,11.90,12.40,59.17,60.53,95.83,95.66,61.60,62.40,69.25,70.13,37.60,12.40,62.40,33.07,60.53,70.13
15,6,2,60000,1000,7000,0.001000,20.00,98.77,98.85,34.00,28.80,33.53,32.46,95.83,95.66,26.60,22.80,63.16,63.37,93.34,93.50,82.70,83.60,69.86,70.06,28.80,22.80,83.60,32.46,63.37,70.06
15,7,0,60000,1000,8000,0.000900,10.00,98.77,98.85,29.30,28.80,33.00,32.00,93.34,93.50,1.60,1.60,61.33,61.50,94.89,95.01,76.90,78.00,71.34,71.30,28.80,1.60,78.00,32.00,61.50,71.30
15,8,2,60000,1000,9000,0.002000,30.00,98.77,98.85,46.40,51.60,34.49,34.18,94.89,95.01,5.60,2.00,64.03,63.60,92.86,93.37,66.00,71.60,71.10,72.27,51.60,2.00,71.60,34.18,63.60,72.27
